_	 5812909
e	 1457999
a	 1222526
n	 852603
o	 852308
s	 818349
i	 755800
r	 752455
l	 719141
u	 608491
t	 543414
d	 512584
c	 487975
a_	 401605
s_	 339388
√	 336635
e_	 336119
es	 303613
m	 303467
_d	 297626
,	 297460
,_	 296368
de	 268776
p	 265203
_de	 221261
en	 221025
n_	 206864
l_	 177660
.	 176908
_l	 175489
os	 175093
_,	 164154
_,_	 163890
u_	 162130
._	 159952
de_	 159720
es_	 157873
er	 156990
_c	 148788
_de_	 147927
la	 147357
y	 146739
_p	 144825
-	 139863
os_	 136609
te	 131629
_e	 131286
el	 129606
on	 127289
b	 126758
nt	 125332
co	 124683
or	 124142
re	 123631
_a	 122455
al	 121069
ci	 120407
-_	 119314
g	 119033
o_	 118971
_-	 117702
an	 115347
_-_	 113949
E	 110341
ar	 110033
ra	 106166
st	 106085
ta	 105807
v	 103715
f	 103608
_y	 98329
na	 97846
_s	 97626
A	 96715
ue	 96405
la_	 96277
L	 96222
'	 92705
ri	 91938
ro	 90960
≥	 88673
√≥	 88016
_L	 87362
un	 87101
le	 85547
r_	 84472
el_	 83182
_n	 82682
in	 82288
°	 80919
_co	 80747
√°	 80261
ie	 79859
N	 79238
_la	 78620
_la_	 77163
y_	 76470
q	 75397
qu	 74353
h	 73968
_m	 73942
ti	 72840
R	 72467
ic	 72284
se	 72134
≠	 71196
S	 71056
ne	 71018
ca	 70695
√≠	 70691
_t	 70193
ent	 69886
lo	 69241
_y_	 68165
I	 67095
ll	 65669
nd	 63923
i√	 63543
ac	 62911
ia	 62867
me	 62000
x	 60746
tr	 59815
si	 59053
en_	 58724
ma	 57623
as	 57513
ol	 57370
tu	 57134
pa	 56964
_S	 56085
_f	 55733
so	 55226
que	 55206
po	 54673
nte	 53528
om	 53246
to	 53217
)	 52804
(	 52775
da	 51754
C	 51627
_(	 51174
na_	 51074
√≥n	 50350
≥n	 50350
_q	 50173
di	 49992
_qu	 49988
NE	 49903
_.	 49730
R_	 48926
_E	 48676
i√≥	 48523
am	 48042
li	 47189
EA	 47059
_en	 46912
cu	 46905
NEA	 46746
nc	 46710
is	 46405
mi	 45481
_._	 45242
_u	 44950
©	 44915
AR	 44851
del	 44691
AR_	 44659
IN	 44636
les	 44622
INE	 44504
LI	 44504
√©	 44491
_LI	 44446
LIN	 44444
EAR	 44440
_LIN	 44435
LINE	 44435
INEA	 44434
LINEA	 44434
INEAR	 44434
NEAR	 44434
NEAR_	 44433
_LINE	 44433
EAR_	 44433
rr	 44145
los	 43947
con	 43702
res	 43648
pr	 43312
io	 43307
_del	 43068
est	 43011
al_	 42900
oc	 42849
no	 42431
ue_	 42321
_C	 42157
los_	 41978
it	 41671
_r	 41108
i√≥n	 41010
do	 40418
ce	 40401
pe	 40255
T	 40042
_que	 39986
rt	 39922
_un	 39799
√≥n_	 39784
≥n_	 39784
P	 39614
que_	 39582
ad	 39534
del_	 39470
te_	 39391
_del_	 39106
_so	 39043
at	 38271
_es	 37920
_po	 37911
_con	 37424
ec	 37294
les_	 36870
z	 36843
id	 36728
em	 36085
ci√	 35994
mo	 35871
_que_	 35679
ur	 35591
ci√≥	 35122
ni	 35087
aci	 34819
_o	 34767
i√≥n_	 34514
_lo	 34209
d'	 34052
_d'	 33890
_a_	 33589
ien	 33502
ci√≥n	 33352
_A	 33232
_pa	 33132
)_	 33018
_pr	 32875
_P	 32858
M	 32587
_v	 32174
ye	 31800
i_	 31793
se_	 31281
:	 31151
nu	 31122
vi	 31044
un_	 30965
on_	 30897
_re	 30790
_los	 30720
_los_	 30707
_T	 30648
D	 30518
ab	 29977
_i	 29707
or_	 29628
ta_	 29289
ente	 29231
r√	 29160
gu	 29155
ve	 28785
F	 28655
t√	 28425
lu	 28342
ra_	 28323
_en_	 28202
:_	 28081
ns	 27846
ro_	 27668
ga	 27601
im	 27539
nes	 27510
_ll	 27070
m√	 27058
_ca	 26832
G	 26788
mp	 26704
sa	 26292
_M	 26261
±	 26244
ru	 26047
sta	 25994
tes	 25928
_el	 25844
nte_	 25699
s,	 25693
s,_	 25614
il	 25533
√±	 25489
ba	 25386
com	 25365
ar_	 25325
nci	 25322
ut	 25317
H	 25281
_ye	 25235
_al	 25201
pu	 25128
va	 24887
B	 24855
_N	 24535
d√	 24531
ia_	 24394
ch	 24364
ed	 24330
cor	 24277
da_	 24190
tu_	 24137
ica	 24129
ant	 23621
orr	 23607
cia	 23520
rro	 23411
_D	 23398
_com	 23325
ter	 23128
et	 23116
ion	 23115
br	 23057
_F	 23049
su	 23028
mu	 22911
era	 22893
O	 22769
So	 22765
_se	 22748
men	 22598
fi	 22572
_So	 22541
una	 22486
iu	 22238
ua	 22193
er_	 22023
a√	 21947
sc	 21899
_ne	 21893
una_	 21801
ici	 21702
_el_	 21511
_R	 21468
fo	 21381
a,	 21268
a,_	 21194
corr	 21157
res_	 21077
aci√	 21015
aci√≥	 20915
_pe	 20822
lla	 20713
oco	 20667
°u	 20633
√°u	 20629
nes_	 20621
s.	 20519
ist	 20519
sp	 20361
nta	 20307
≠a	 20274
√≠a	 20269
por	 20161
V	 20160
Soc	 20088
_Soc	 20056
_na	 19973
ente_	 19935
per	 19917
_H	 19790
tes_	 19664
rro_	 19640
orro	 19621
iv	 19575
s._	 19571
_le	 19562
∫	 19549
ocor	 19523
corro	 19511
ocorr	 19506
_Soco	 19506
Soco	 19506
Socor	 19497
orro_	 19486
_g	 19403
ul	 19396
ste	 19378
ye_	 19331
_b	 19326
eg	 19239
ten	 19179
rm	 19114
_un_	 19090
