_	 82949
a	 38076
i	 16836
n	 12292
u	 11292
r	 10883
a_	 10794
s	 9621
e	 9366
t	 7841
l	 7706
o	 7364
k	 7168
c	 5489
m	 5078
y	 4559
h	 4375
na	 4119
d	 4112
p	 4065
.	 3843
ka	 3834
√	 3663
q	 3569
an	 3525
._	 3458
,	 3437
,_	 3426
ar	 3274
w	 2690
j	 2611
ak	 2581
ta	 2567
e_	 2561
'	 2506
ma	 2384
in	 2365
s_	 2363
)	 2311
(	 2311
_(	 2283
ch	 2282
ri	 2236
aka	 2001
ra	 1982
al	 1973
_s	 1969
de	 1962
i_	 1933
nak	 1878
_j	 1876
naka	 1815
'a	 1804
_d	 1803
o_	 1798
:	 1794
is	 1752
u_	 1703
ay	 1696
ha	 1675
_de	 1640
:_	 1640
ka_	 1639
_.	 1615
la	 1608
_._	 1562
ac	 1557
n_	 1530
wa	 1486
at	 1479
_m	 1476
uy	 1452
x	 1429
pa	 1429
g	 1425
±	 1421
su	 1420
yu	 1407
de_	 1398
)_	 1397
qa	 1396
√±	 1367
as	 1362
l_	 1359
un	 1358
P	 1353
_de_	 1348
ja	 1338
M	 1335
A	 1318
aq	 1310
ti	 1285
_M	 1282
ll	 1273
_P	 1267
am	 1267
en	 1261
_a	 1222
_su	 1217
ru	 1195
_n	 1152
'a_	 1147
C	 1128
_p	 1123
ur	 1122
_A	 1112
es	 1095
ci	 1092
er	 1091
nt	 1082
b	 1080
st	 1073
ir	 1072
J	 1070
uyu	 1069
ach	 1055
±a	 1052
√±a	 1052
L	 1036
_J	 1035
v	 1024
suy	 1024
suyu	 1015
ana	 1015
_ma	 1007
ni	 1006
_ja	 1004
os	 1001
_suy	 1000
_suyu	 998
rk	 994
ic	 992
k'	 976
sa	 976
ya	 975
_na	 972
_l	 957
si	 949
_C	 946
_t	 943
or	 941
mar	 937
aka_	 935
sk	 934
ark	 934
_L	 928
rka	 909
arka	 897
na_	 889
_e	 888
on	 888
qi	 886
a.	 882
k'a	 881
aw	 879
el	 869
naka_	 863
S	 862
ina	 861
isk	 861
T	 852
hi	 852
re	 852
a._	 843
li	 831
_,_	 821
_,	 821
ji	 815
ata	 810
xa	 808
a,	 805
sk'	 805
a,_	 803
isk'	 803
_)	 803
sk'a	 802
isk'a	 800
-	 797
ia	 794
k'a_	 794
sk'a_	 789
_c	 779
I	 776
()	 773
cha	 770
a√	 762
_()	 762
ap	 761
it	 754
il	 752
_S	 750
_u	 749
_k	 749
_ji	 748
),	 746
),_	 742
la_	 739
y_	 739
ta_	 735
a:	 732
a√±	 732
a:_	 731
_T	 719
to	 711
_mar	 707
ro	 697
tu	 696
E	 694
ki	 690
ca	 690
nc	 689
_y	 687
Ma	 683
qa_	 679
te	 679
iri	 679
_Ma	 675
nk	 674
os_	 672
ad	 669
W	 669
f	 668
io	 667
-_	 666
i√	 656
_-	 655
√±a_	 653
±a_	 653
_W	 649
_-_	 647
_)_	 642
jis	 639
iw	 637
ara	 636
jisk	 635
_jis	 634
ut	 634
_jisk	 631
N	 628
jisk'	 626
a√±a	 625
mark	 614
ip	 612
pi	 608
marka	 605
wi	 601
ka:_	 599
ka:	 599
aqi	 596
al_	 593
ue	 591
Ä	 585
_I	 585
us	 575
xa_	 574
una	 569
U	 565
‚	 563
inak	 560
hu	 558
_mark	 557
≥	 555
el_	 555
‚Ä	 553
¬	 549
qu	 548
inaka	 546
r_	 546
lo	 543
≠	 542
h'	 541
_q	 541
aru	 540
(_	 540
_E	 538
ama	 537
_(_	 535
ri_	 531
yu_	 527
√≠	 526
ch'	 520
es_	 519
_la	 507
B	 506
ku	 504
(),	 502
_(),	 501
im	 500
_U	 498
_(),_	 498
ax	 498
(),_	 498
mp	 497
Ja	 495
ra_	 494
da	 494
_Ja	 493
_nak	 490
anak	 487
_naka	 481
co	 479
Li	 477
le	 475
√≥	 471
_N	 469
anaka	 467
uri	 463
do	 463
t'	 458
chi	 455
id	 451
as_	 449
_w	 448
all	 447
uyu_	 445
z	 444
iri_	 443
_B	 443
no	 440
acha	 436
Mar	 435
rka_	 434
arka_	 434
qin	 433
_Mar	 432
K	 431
°	 427
di	 424
Y	 421
suyu_	 415
ill	 415
Wa	 415
aka:_	 414
aka:	 414
_Wa	 413
_‚	 411
_Li	 410
naka:	 410
tr	 410
h'a	 409
vi	 408
lla	 408
ch'a	 406
awa	 405
qina	 402
_‚Ä	 401
_Y	 397
uq	 394
_¬	 394
_K	 390
yr	 390
R	 389
a√±a_	 384
aqin	 384
aqa	 383
ink	 383
ie	 380
nd	 380
an_	 378
ol	 378
rt	 377
ph	 376
ma_	 376
ru_	 375
en_	 374
i√±	 373
iwa	 373
_:	 373
_sa	 370
aqina	 370
ani	 368
t'a	 368
mu	 367
aki	 365
Pa	 363
D	 363
nq	 360
kan	 359
_ch	 359
ica	 359
qinak	 359
ne	 358
lu	 355
_en	 355
√°	 354
G	 354
uk	 353
_wa	 351
_la_	 349
aya	 349
ent	 349
Q	 349
_pa	 347
ant	 345
_Pa	 345
§	 344
_ar	 344
ayr	 342
wa_	 340
ul	 338
