_	 2188752
a	 969769
i	 492500
n	 400381
u	 385146
a_	 285650
k	 243204
s	 223359
t	 222608
l	 221353
r	 203546
p	 190880
q	 186798
m	 177109
na	 165738
y	 156020
un	 144414
.	 138104
e	 137507
w	 129239
o	 126038
h	 125908
ku	 120585
una	 119228
c	 114646
an	 110517
,	 102072
kun	 101913
,_	 101768
._	 101754
kuna	 100880
qa	 92444
na_	 88445
ta	 84088
aq	 81983
_k	 80575
pi	 77888
ay	 75560
ll	 73155
una_	 73060
d	 70956
ma	 69100
kuna_	 67572
_p	 64457
ch	 63183
in	 62945
)	 60422
(	 60325
_.	 59797
la	 59445
_(	 59416
_._	 58722
is	 57308
ri	 57061
wa	 56555
ka	 56195
:	 55212
i_	 54966
pa	 54304
:_	 53123
ha	 52328
)_	 50360
as	 47410
y_	 46107
ar	 46017
qa_	 45109
am	 44366
_,	 44240
_,_	 44183
n_	 43697
Ã	 43420
lla	 42060
_m	 41179
sq	 40113
_l	 39549
it	 39410
sqa	 38825
s_	 38330
ak	 38106
_ku	 37810
ru	 37784
uk	 37711
_kun	 36905
_kuna	 36675
_s	 35488
tu	 35480
aw	 35237
ti	 34950
P	 34253
u_	 33790
ap	 33612
_ll	 33559
ik	 33461
ya	 33065
ni	 33034
im	 32732
cha	 32476
mi	 32382
at	 32161
_P	 31608
ac	 30942
o_	 30898
-	 30846
qt	 30840
qta	 30780
_t	 30678
laq	 30621
aqt	 30498
aqta	 30463
laqt	 30291
laqta	 30291
si	 30156
aku	 29991
_pi	 29699
ra	 29490
st	 29364
hi	 29338
ay_	 29028
A	 28900
g	 28678
_d	 28626
nt	 28228
_w	 28226
S	 28171
e_	 27937
yu	 27917
C	 27785
K	 27516
_ka	 27427
akun	 27251
llaq	 27205
ta_	 27175
_lla	 27021
akuna	 26963
llaqt	 26960
_K	 26813
pi_	 26737
li	 26679
al	 26426
ana	 26296
_llaq	 26132
-_	 25328
_A	 25033
_S	 24860
hu	 24816
de	 24701
H	 24239
awa	 23678
_-	 23667
aqa	 23659
_r	 23638
/	 23570
b	 23200
iy	 23167
ach	 23148
_H	 23108
isq	 22871
ama	 22795
isqa	 22630
m_	 22591
ww	 22320
ata	 21984
wi	 21974
'	 21908
a:	 21749
tr	 21718
an_	 21683
a:_	 21500
_-_	 21476
_C	 21267
nk	 21246
Ka	 21213
_Ka	 21015
ur	 20929
/_	 20842
us	 20779
q_	 20760
il	 20412
ma_	 20352
itu	 20146
M	 20120
ip	 20080
_h	 20043
di	 19924
_n	 19725
er	 19506
ic	 19496
_)	 19420
ki	 19272
i,	 19269
i,_	 19242
iku	 19107
(_	 19091
_/	 19051
_/_	 18910
_wa	 18785
I	 18781
L	 18665
na:	 18601
±	 18585
sa	 18543
una:	 18540
kuna:	 18506
na:_	 18501
_M	 18460
_(_	 18449
una:_	 18440
ist	 18362
W	 18155
Ã±	 17961
as_	 17768
nis	 17612
Ha	 17536
_de	 17486
U	 17440
_Ha	 17338
v	 17300
imi	 17230
T	 17224
R	 17146
_W	 17145
rit	 17130
str	 17035
uy	 16989
aqa_	 16918
_L	 16777
ant	 16691
tri	 16634
pi,	 16539
pi,_	 16520
api	 16173
_ni	 16058
stri	 16058
en	 16026
istr	 15971
istri	 15874
trit	 15851
strit	 15848
_R	 15802
_U	 15703
or	 15543
ns	 15522
_si	 15388
_ma	 15269
aq_	 15241
uw	 15228
ill	 15120
nc	 15039
_)_	 14987
de_	 14951
pas	 14766
ikun	 14724
chi	 14673
ikuna	 14576
sim	 14514
ka_	 14339
_de_	 14297
simi	 14261
ruw	 14214
_q	 14202
man	 14192
_sim	 14139
_simi	 14104
k_	 13952
tap	 13818
wat	 13766
wa_	 13739
uku	 13731
sqa_	 13643
_nis	 13608
es	 13587
on	 13491
_wat	 13363
Y	 13359
nisq	 13353
nisqa	 13352
_nisq	 13347
ritu	 13331
wata	 13327
huk	 13325
Â	 13285
tritu	 13128
_Y	 13106
Sa	 13040
_wata	 13038
_hu	 12951
pu	 12899
nan	 12850
uk_	 12825
_ru	 12742
_I	 12714
_a	 12680
_Sa	 12574
sy	 12573
iya	 12540
ha_	 12473
D	 12457
qan	 12357
la_	 12246
_T	 12246
Wa	 12178
ins	 12086
sya	 12066
