Id	Part2B	Part2T	Part1	Scope	Type	Ref_Name	Comment
aar	aar	aar	aa	I	L	Afar	
abk	abk	abk	ab	I	L	Abkhazian	
ace	ace	ace	  	I	L	Achinese	
ach	ach	ach	  	I	L	Acoli	
ada	ada	ada	  	I	L	Adangme	
ady	ady	ady	  	I	L	Adyghe	
afh	afh	afh	  	I	C	Afrihili	
afr	afr	afr	af	I	L	Afrikaans	
ain	ain	ain	  	I	L	Ainu (Japan)	
aka	aka	aka	ak	M	L	Akan	
akk	akk	akk	  	I	A	Akkadian	
ale	ale	ale	  	I	L	Aleut	
alt	alt	alt	  	I	L	Southern Altai	
amh	amh	amh	am	I	L	Amharic	
ang	ang	ang	  	I	H	Old English (ca. 450-1100)	
anp	anp	anp	  	I	L	Angika	
ara	ara	ara	ar	M	L	Arabic	
arc	arc	arc	  	I	A	Official Aramaic (700-300 BCE)	
arg	arg	arg	an	I	L	Aragonese	
arn	arn	arn	  	I	L	Mapudungun	
arp	arp	arp	  	I	L	Arapaho	
arw	arw	arw	  	I	L	Arawak	
asm	asm	asm	as	I	L	Assamese	
ast	ast	ast	  	I	L	Asturian	
ava	ava	ava	av	I	L	Avaric	
ave	ave	ave	ae	I	A	Avestan	
awa	awa	awa	  	I	L	Awadhi	
aym	aym	aym	ay	M	L	Aymara	
aze	aze	aze	az	M	L	Azerbaijani	
bak	bak	bak	ba	I	L	Bashkir	
bal	bal	bal	  	M	L	Baluchi	
bam	bam	bam	bm	I	L	Bambara	
ban	ban	ban	  	I	L	Balinese	
bas	bas	bas	  	I	L	Basa (Cameroon)	
bej	bej	bej	  	I	L	Beja	
bel	bel	bel	be	I	L	Belarusian	
bem	bem	bem	  	I	L	Bemba (Zambia)	
ben	ben	ben	bn	I	L	Bengali	
bho	bho	bho	  	I	L	Bhojpuri	
bik	bik	bik	  	M	L	Bikol	
bin	bin	bin	  	I	L	Bini	
bis	bis	bis	bi	I	L	Bislama	
bla	bla	bla	  	I	L	Siksika	
bod	tib	bod	bo	I	L	Tibetan	
bos	bos	bos	bs	I	L	Bosnian	
bra	bra	bra	  	I	L	Braj	
bre	bre	bre	br	I	L	Breton	
bua	bua	bua	  	M	L	Buriat	
bug	bug	bug	  	I	L	Buginese	
bul	bul	bul	bg	I	L	Bulgarian	
byn	byn	byn	  	I	L	Bilin	
cad	cad	cad	  	I	L	Caddo	
car	car	car	  	I	L	Galibi Carib	
cat	cat	cat	ca	I	L	Catalan	
ceb	ceb	ceb	  	I	L	Cebuano	
ces	cze	ces	cs	I	L	Czech	
cha	cha	cha	ch	I	L	Chamorro	
chb	chb	chb	  	I	E	Chibcha	
che	che	che	ce	I	L	Chechen	
chg	chg	chg	  	I	E	Chagatai	
chk	chk	chk	  	I	L	Chuukese	
chm	chm	chm	  	M	L	Mari (Russia)	
chn	chn	chn	  	I	L	Chinook jargon	
cho	cho	cho	  	I	L	Choctaw	
chp	chp	chp	  	I	L	Chipewyan	
chr	chr	chr	  	I	L	Cherokee	
chu	chu	chu	cu	I	A	Church Slavic	
chv	chv	chv	cv	I	L	Chuvash	
chy	chy	chy	  	I	L	Cheyenne	
cop	cop	cop	  	I	E	Coptic	
cor	cor	cor	kw	I	L	Cornish	
cos	cos	cos	co	I	L	Corsican	
cre	cre	cre	cr	M	L	Cree	
crh	crh	crh	  	I	L	Crimean Tatar	
csb	csb	csb	  	I	L	Kashubian	
cym	wel	cym	cy	I	L	Welsh	
dak	dak	dak	  	I	L	Dakota	
dan	dan	dan	da	I	L	Danish	
dar	dar	dar	  	I	L	Dargwa	
del	del	del	  	M	L	Delaware	
den	den	den	  	M	L	Slave (Athapascan)	
deu	ger	deu	de	I	L	German	
dgr	dgr	dgr	  	I	L	Dogrib	
din	din	din	  	M	L	Dinka	
div	div	div	dv	I	L	Dhivehi	
doi	doi	doi	  	M	L	Dogri (macrolanguage)	
dsb	dsb	dsb	  	I	L	Lower Sorbian	
dua	dua	dua	  	I	L	Duala	
dum	dum	dum	  	I	H	Middle Dutch (ca. 1050-1350)	
dyu	dyu	dyu	  	I	L	Dyula	
dzo	dzo	dzo	dz	I	L	Dzongkha	
efi	efi	efi	  	I	L	Efik	
egy	egy	egy	  	I	A	Egyptian (Ancient)	
eka	eka	eka	  	I	L	Ekajuk	
ell	gre	ell	el	I	L	Modern Greek (1453-)	
elx	elx	elx	  	I	A	Elamite	
eng	eng	eng	en	I	L	English	
enm	enm	enm	  	I	H	Middle English (1100-1500)	
epo	epo	epo	eo	I	C	Esperanto	
est	est	est	et	M	L	Estonian	
eus	baq	eus	eu	I	L	Basque	
ewe	ewe	ewe	ee	I	L	Ewe	
ewo	ewo	ewo	  	I	L	Ewondo	
fan	fan	fan	  	I	L	Fang (Equatorial Guinea)	
fao	fao	fao	fo	I	L	Faroese	
fas	per	fas	fa	M	L	Persian	
fat	fat	fat	  	I	L	Fanti	
fij	fij	fij	fj	I	L	Fijian	
fil	fil	fil	  	I	L	Filipino	
fin	fin	fin	fi	I	L	Finnish	
fon	fon	fon	  	I	L	Fon	
fra	fre	fra	fr	I	L	French	
frm	frm	frm	  	I	H	Middle French (ca. 1400-1600)	
fro	fro	fro	  	I	H	Old French (842-ca. 1400)	
frr	frr	frr	  	I	L	Northern Frisian	
frs	frs	frs	  	I	L	Eastern Frisian	
fry	fry	fry	fy	I	L	Western Frisian	
ful	ful	ful	ff	M	L	Fulah	
fur	fur	fur	  	I	L	Friulian	
gaa	gaa	gaa	  	I	L	Ga	
gay	gay	gay	  	I	L	Gayo	
gba	gba	gba	  	M	L	Gbaya (Central African Republic)	
gez	gez	gez	  	I	A	Geez	
gil	gil	gil	  	I	L	Gilbertese	
gla	gla	gla	gd	I	L	Scottish Gaelic	
gle	gle	gle	ga	I	L	Irish	
glg	glg	glg	gl	I	L	Galician	
glv	glv	glv	gv	I	L	Manx	
gmh	gmh	gmh	  	I	H	Middle High German (ca. 1050-1500)	
goh	goh	goh	  	I	H	Old High German (ca. 750-1050)	
gon	gon	gon	  	M	L	Gondi	
gor	gor	gor	  	I	L	Gorontalo	
got	got	got	  	I	A	Gothic	
grb	grb	grb	  	M	L	Grebo	
grc	grc	grc	  	I	H	Ancient Greek (to 1453)	
grn	grn	grn	gn	M	L	Guarani	
gsw	gsw	gsw	  	I	L	Swiss German	
guj	guj	guj	gu	I	L	Gujarati	
gwi	gwi	gwi	  	I	L	Gwich'in	
hai	hai	hai	  	M	L	Haida	
hat	hat	hat	ht	I	L	Haitian	
hau	hau	hau	ha	I	L	Hausa	
haw	haw	haw	  	I	L	Hawaiian	
heb	heb	heb	he	I	L	Hebrew	
her	her	her	hz	I	L	Herero	
hil	hil	hil	  	I	L	Hiligaynon	
hin	hin	hin	hi	I	L	Hindi	
hit	hit	hit	  	I	A	Hittite	
hmn	hmn	hmn	  	M	L	Hmong	
hmo	hmo	hmo	ho	I	L	Hiri Motu	
hrv	hrv	hrv	hr	I	L	Croatian	
hsb	hsb	hsb	  	I	L	Upper Sorbian	
hun	hun	hun	hu	I	L	Hungarian	
hup	hup	hup	  	I	L	Hupa	
hye	arm	hye	hy	I	L	Armenian	
iba	iba	iba	  	I	L	Iban	
ibo	ibo	ibo	ig	I	L	Igbo	
ido	ido	ido	io	I	C	Ido	
iii	iii	iii	ii	I	L	Sichuan Yi	
iku	iku	iku	iu	M	L	Inuktitut	
ile	ile	ile	ie	I	C	Interlingue	
ilo	ilo	ilo	  	I	L	Iloko	
ina	ina	ina	ia	I	C	Interlingua (International Auxiliary Language Association)	
ind	ind	ind	id	I	L	Indonesian	
inh	inh	inh	  	I	L	Ingush	
ipk	ipk	ipk	ik	M	L	Inupiaq	
isl	ice	isl	is	I	L	Icelandic	
ita	ita	ita	it	I	L	Italian	
jav	jav	jav	jv	I	L	Javanese	
jbo	jbo	jbo	  	I	C	Lojban	
jpn	jpn	jpn	ja	I	L	Japanese	
jpr	jpr	jpr	  	I	L	Judeo-Persian	
jrb	jrb	jrb	  	M	L	Judeo-Arabic	
kaa	kaa	kaa	  	I	L	Kara-Kalpak	
kab	kab	kab	  	I	L	Kabyle	
kac	kac	kac	  	I	L	Kachin	
kal	kal	kal	kl	I	L	Kalaallisut	
kam	kam	kam	  	I	L	Kamba (Kenya)	
kan	kan	kan	kn	I	L	Kannada	
kas	kas	kas	ks	I	L	Kashmiri	
kat	geo	kat	ka	I	L	Georgian	
kau	kau	kau	kr	M	L	Kanuri	
kaw	kaw	kaw	  	I	A	Kawi	
kaz	kaz	kaz	kk	I	L	Kazakh	
kbd	kbd	kbd	  	I	L	Kabardian	
kha	kha	kha	  	I	L	Khasi	
khm	khm	khm	km	I	L	Central Khmer	
kho	kho	kho	  	I	A	Khotanese	
kik	kik	kik	ki	I	L	Kikuyu	
kin	kin	kin	rw	I	L	Kinyarwanda	
kir	kir	kir	ky	I	L	Kirghiz	
kmb	kmb	kmb	  	I	L	Kimbundu	
kok	kok	kok	  	M	L	Konkani (macrolanguage)	
kom	kom	kom	kv	M	L	Komi	
kon	kon	kon	kg	M	L	Kongo	
kor	kor	kor	ko	I	L	Korean	
kos	kos	kos	  	I	L	Kosraean	
kpe	kpe	kpe	  	M	L	Kpelle	
krc	krc	krc	  	I	L	Karachay-Balkar	
krl	krl	krl	  	I	L	Karelian	
kru	kru	kru	  	I	L	Kurukh	
kua	kua	kua	kj	I	L	Kuanyama	
kum	kum	kum	  	I	L	Kumyk	
kur	kur	kur	ku	M	L	Kurdish	
kut	kut	kut	  	I	L	Kutenai	
lad	lad	lad	  	I	L	Ladino	
lah	lah	lah	  	M	L	Lahnda	
lam	lam	lam	  	I	L	Lamba	
lao	lao	lao	lo	I	L	Lao	
lat	lat	lat	la	I	A	Latin	
lav	lav	lav	lv	M	L	Latvian	
lez	lez	lez	  	I	L	Lezghian	
lim	lim	lim	li	I	L	Limburgan	
lin	lin	lin	ln	I	L	Lingala	
lit	lit	lit	lt	I	L	Lithuanian	
lol	lol	lol	  	I	L	Mongo	
loz	loz	loz	  	I	L	Lozi	
ltz	ltz	ltz	lb	I	L	Luxembourgish	
lua	lua	lua	  	I	L	Luba-Lulua	
lub	lub	lub	lu	I	L	Luba-Katanga	
lug	lug	lug	lg	I	L	Ganda	
lui	lui	lui	  	I	L	Luiseno	
lun	lun	lun	  	I	L	Lunda	
luo	luo	luo	  	I	L	Luo (Kenya and Tanzania)	
lus	lus	lus	  	I	L	Lushai	
mad	mad	mad	  	I	L	Madurese	
mag	mag	mag	  	I	L	Magahi	
mah	mah	mah	mh	I	L	Marshallese	
mai	mai	mai	  	I	L	Maithili	
mak	mak	mak	  	I	L	Makasar	
mal	mal	mal	ml	I	L	Malayalam	
man	man	man	  	M	L	Mandingo	
mar	mar	mar	mr	I	L	Marathi	
mas	mas	mas	  	I	L	Masai	
mdf	mdf	mdf	  	I	L	Moksha	
