_	 138634
a	 50381
i	 35849
t	 28555
r	 28109
ri	 22990
n	 21200
a_	 20145
u	 20085
i_	 14853
_r	 14549
ri_	 14517
_ri	 14502
_ri_	 14470
an	 13691
o	 12810
s	 11657
na	 11654
√	 9676
ta	 9369
√©	 9150
©	 9150
y	 9089
ar	 8781
ana	 8558
_t	 8478
.	 8459
._	 8419
_s	 8311
w	 8308
u_	 8202
it	 8185
wa	 8166
to	 8151
I	 8150
_i	 8148
_I	 8128
ya	 8102
tu	 8096
ari	 8094
o_	 8093
ta_	 8084
wa_	 8070
nar	 8050
iy	 8047
_iy	 8046
yan	 8046
rit	 8033
yana	 8029
s√	 8029
itu	 8028
anar	 8027
tu_	 8026
iya	 8025
s√©	 8024
_iya	 8024
iyan	 8023
_iyan	 8023
iyana	 8023
itu_	 8022
yanar	 8021
ritu	 8021
anari	 8020
ritu_	 8020
aritu	 8020
narit	 8020
arit	 8020
nari	 8020
to_	 8017
_to	 8017
uw	 8013
uwa	 8012
_to_	 8012
_s√©	 8011
_s√	 8011
uwa_	 8009
√©u	 8008
©u	 8008
√©uwa	 8007
©uwa	 8007
√©uw	 8007
©uw	 8007
_s√©u	 8006
s√©uw	 8006
s√©u	 8006
Ita	 8005
_It	 8005
©uwa_	 8005
It	 8005
_Ita	 8005
_Ita_	 8002
Ita_	 8002
_.	 7943
_._	 7942
e	 6724
l	 4067
-	 3765
g	 3635
na_	 3211
®	 2991
m	 2989
·®	 2698
·	 2698
ng	 2686
C	 2149
ma	 1977
ang	 1921
_m	 1841
ra	 1799
_ma	 1768
man	 1700
A	 1698
_man	 1650
or	 1559
_a	 1556
d	 1491
no	 1436
ano	 1294
ora	 1293
nor	 1283
mano	 1281
_mano	 1281
nora	 1281
anor	 1280
anora	 1280
manor	 1280
e_	 1279
(	 1264
)	 1263
_(	 1254
at	 1253
)_	 1223
gn	 1195
S	 1173
s_	 1155
au	 1154
la	 1151
in	 1142
c	 1110
nt	 1104
(C	 1065
_(C	 1065
on	 1047
tan	 1017
h	 1004
ata	 993
atan	 980
j	 979
tang	 976
ran	 975
_at	 975
nn	 973
atang	 971
_ata	 971
_atan	 967
p	 962
es	 947
un	 906
ai	 903
M	 900
gna	 890
ga	 872
B	 869
n_	 869
ja	 863
CA	 852
aj	 846
-l	 845
L	 844
(CA	 843
_(CA	 843
gna_	 833
rang	 832
ngn	 831
ngna_	 830
ngna	 830
oran	 826
orang	 823
noran	 817
angn	 817
angna	 817
le	 817
aja	 817
er	 817
rangn	 816
ann	 814
nna	 813
jan	 807
ajan	 804
_S	 798
anna	 772
b	 770
en	 765
nna_	 765
k	 765
t-	 765
anna_	 763
nga	 747
ou	 740
ur	 702
Sa	 701
ll	 700
ain	 662
re	 656
P	 642
aun	 640
-la	 629
_C	 624
t_	 621
v	 614
una	 614
_L	 612
lau	 601
g-	 599
_Sa	 597
una_	 596
auna	 594
ng-	 591
ng-la	 590
tang-	 590
ang-	 590
g-l	 590
g-la	 590
ng-l	 590
auna_	 590
laun	 589
-laun	 589
launa	 589
-lau	 589
ang-l	 589
g-lau	 589
_·®	 587
_·	 587
int	 580
il	 575
nt-	 567
Sai	 564
ia	 559
Sain	 559
aint	 558
ne	 558
Saint	 557
_M	 546
_B	 532
e-	 530
es_	 524
_A	 520
y_	 518
int-	 514
aint-	 513
ni	 501
_Sai	 500
_Sain	 495
≈	 491
ã	 491
V	 489
≈ã	 487
al	 486
a≈ã	 469
a≈	 469
ãn	 466
≈ãn	 466
ie	 466
≈ãna_	 464
ãna	 464
≈ãna	 464
ãna_	 464
a≈ãn	 464
a≈ãna	 463
ora≈ã	 463
ra≈	 463
ora≈	 463
ra≈ãn	 463
ra≈ã	 463
nora≈	 463
,	 458
,_	 458
ana_	 454
©n	 445
√©n	 445
lle	 432
is	 422
ajann	 421
jann	 421
_ajan	 420
_aj	 420
_aja	 420
janna	 419
te	 417
se	 407
ill	 406
©ng	 405
√©ng	 405
ian	 392
anga	 391
R	 382
jana	 379
jana_	 379
ngaj	 378
ngaja	 378
gaj	 378
gaja	 378
gajan	 377
tanga	 377
angaj	 377
ajana	 377
eu	 374
el	 372
z	 367
as	 366
x	 363
ani	 362
La	 357
-_	 357
s-	 356
ï	 350
®ï	 350
de	 350
·®ï	 350
_,_	 349
_,	 349
nia	 348
mani	 345
ania	 344
t√	 343
ó	 343
a.	 342
a._	 342
mania	 341
iann	 341
_mani	 341
nian	 340
niann	 340
anian	 340
®ó	 339
·®ó	 339
ianna	 339
_P	 339
_-	 338
t√©	 337
_-_	 330
rt	 329
di	 328
et	 326
ga._	 321
t√©n	 321
ga.	 321
ont	 321
Ma	 321
_t√	 321
nga.	 320
√©nga	 320
©nga.	 320
nga._	 320
©nga	 320
_t√©	 320
t√©ng	 320
_t√©n	 320
ro	 317
r_	 312
ss	 308
ha	 303
G	 297
_V	 295
ti	 295
T	 293
ka	 293
√®	 293
Ch	 293
F	 293
_d	 290
_La	 289
ï·	 288
·®ï·®	 288
·®ï·	 288
®ï·	 288
ï·®	 288
®ï·®	 288
_p	 286
si	 286
li	 285
f	 271
Mo	 271
ig	 271
on_	 270
l_	 265
r-	 259
ille	 255
our	 254
n-	 253
am	 250
su	 250
lo	 247
N	 243
me	 241
ol	 239
om	 238
-s	 237
-d	 234
nd	 234
