_	 6088138
a	 1641448
e	 1448134
s	 1013196
n	 986898
i	 931551
r	 845346
t	 783620
o	 762521
l	 681865
d	 621934
u	 527835
c	 504762
a_	 484983
s_	 450972
e_	 447061
_d	 409591
√	 385826
m	 368825
p	 326338
de	 320409
_de	 286382
_l	 268534
n_	 249166
en	 243854
_e	 228381
on	 220901
,	 213508
,_	 212605
la	 204097
de_	 202961
_de_	 196847
g	 193181
.	 183960
es	 182264
as	 172166
an	 171640
_p	 171397
t_	 169507
®	 158668
√®	 158278
_a	 157655
b	 157276
ra	 157237
ta	 156506
._	 151862
nt	 151571
'	 148967
er	 146062
re	 138904
_s	 136148
_c	 135503
ar	 128506
f	 124315
v	 121467
ci	 119504
as_	 118936
na	 115123
in	 113361
at	 113131
_la	 111185
la_	 110232
h	 109378
q	 105717
r_	 105535
qu	 104504
st	 103624
al	 102934
lo	 102619
ri	 101054
ia	 98092
o_	 97810
ca	 95837
co	 91488
or	 89876
≤	 88091
me	 86454
ns	 85832
ent	 85726
on_	 85475
√≤	 85217
ic	 84886
_la_	 84885
it	 83123
_m	 82913
is	 81844
(	 81391
)	 81379
es_	 80624
da	 80334
_e_	 79952
io	 79880
ma	 79675
ti	 79527
un	 79313
el	 78739
ue	 77817
:	 74599
_(	 74104
te	 74055
i_	 73689
l_	 72685
_lo	 72123
_t	 71962
_,	 71538
_,_	 71318
om	 71133
_co	 70672
L	 70590
-	 70286
pa	 69712
ion	 69253
se	 67432
_q	 67094
_qu	 66939
_L	 66123
en_	 66115
tr	 65905
pe	 64703
_f	 64301
am	 63550
si	 62273
_en	 61325
que	 61294
li	 61277
di	 61258
le	 60993
au	 60504
_u	 60452
:_	 58824
ro	 58499
ac	 58276
A	 57537
)_	 56169
nc	 55218
ns_	 54742
√®r	 54277
®r	 54277
os	 54162
ad	 53191
_.	 52398
ni	 52363
na_	 52308
nt_	 52270
lo_	 52161
l'	 51599
d'	 51589
pr	 51455
_d'	 51182
_l'	 51147
_lo_	 50542
men	 50383
_es	 49859
rt	 49855
so	 49613
sa	 49404
_r	 49255
nd	 48787
us	 48680
_un	 48250
_._	 47826
E	 47515
ts	 47110
cio	 46792
_pe	 46338
cion	 46242
-_	 46182
_-	 46121
S	 45726
C	 45685
er_	 45470
u_	 45213
_en_	 44924
per	 43735
to	 43353
mi	 43322
ss	 43284
ol	 43123
_a_	 43099
_-_	 42974
ue_	 42808
ia_	 42660
ei	 42519
r√	 42518
ion_	 41963
_A	 41716
P	 41664
em	 41638
et	 39884
ai	 39729
at_	 39548
ne	 39320
il	 39313
_n	 38985
ra_	 38883
©	 38653
ment	 38457
√©	 38429
_S	 38226
_E	 38088
_pa	 37950
u√	 37944
_C	 37802
del	 37774
t√	 37738
ur	 37721
_v	 37395
ts_	 37382
_pr	 37227
que_	 37084
_P	 37043
ica	 37029
_del	 36599
'a	 36532
_o	 36513
gu	 36388
_que	 36301
_per	 36119
ent_	 36083
da_	 35933
an_	 35681
con	 35205
i√	 35204
_di	 35132
ec	 34939
sta	 34763
cia	 34567
_re	 34502
ve	 34479
ir	 34478
n√	 34378
re_	 34369
ada	 34320
el_	 34138
las	 34005
_que_	 33896
po	 33828
no	 33742
im	 33387
una	 33198
com	 32934
id	 32779
√®t	 32764
®t	 32764
un_	 32513
fi	 32473
ut	 32425
ta_	 32406
_so	 32315
_se	 32218
'e	 32082
_i	 32030
est	 31690
ita	 31546
M	 31449
j	 31322
_)	 31259
ua	 31020
va	 30859
tu	 30737
aci	 30703
z	 30357
ga	 30239
tat	 30087
vi	 30070
mp	 30053
_ca	 30040
_ma	 30036
gi	 29870
_com	 29762
res	 29732
cion_	 29451
_g	 29399
una_	 29323
ß	 29319
_es_	 29303
s,	 29149
s,_	 29095
_b	 28985
las_	 28978
√ß	 28864
rs	 28731
eg	 28692
os_	 28674
son	 28458
u√®	 28281
ant	 28259
ha	 28023
per_	 27935
ala	 27924
ce	 27837
ig	 27760
og	 27737
ba	 27669
acio	 27596
I	 27531
acion	 27510
_per_	 27422
_M	 27393
_:	 27361
x	 27303
®t_	 27197
√®t_	 27197
ran	 27168
mb	 27166
D	 27038
ist	 26873
nci	 26684
_:_	 26643
ins	 26484
mo	 26234
rn	 26133
ge	 26078
tan	 25956
su	 25915
_con	 25913
del_	 25826
ame	 25670
d_	 25552
_del_	 25513
_un_	 25473
gr	 25446
ar_	 25346
y	 25145
ab	 25139
‚	 24966
fo	 24733
ons	 24632
ap	 24538
al_	 24298
us_	 23932
rr	 23860
ct	 23854
√≤r	 23805
≤r	 23805
ot	 23715
do	 23709
ie	 23701
tra	 23664
_D	 23147
c_	 23080
ei_	 23032
ng	 22982
tre	 22968
sp	 22694
sc	 22694
ls	 22665
ment_	 22574
ins_	 22488
amen	 22449
ßa	 22414
√ßa	 22410
par	 22317
B	 22284
ament	 22108
eu	 22013
Ä	 22006
ch	 21971
a,	 21959
ada_	 21946
a,_	 21907
art	 21862
be	 21816
_las	 21775
s.	 21728
_las_	 21716
_)_	 21707
nta	 21515
ul	 21511
Lo	 21510
≠	 21162
oc	 20972
ui	 20958
_Lo	 20942
√≠	 20914
din	 20582
F	 20549
gu√	 20429
s._	 20419
br	 20377
†	 20367
N	 20330
c√	 20219
T	 20017
_po	 20014
La	 19986
m_	 19916
gu√®	 19899
R	 19877
bl	 19826
son_	 19755
_una	 19728
au_	 19722
_fo	 19711
(_	 19677
ls_	 19673
ncia	 19601
_una_	 19598
√†	 19595
nts	 19583
