_	 8324681
e	 2849106
n	 1788236
a	 1363962
i	 1300044
r	 1268051
t	 1251279
s	 1001611
n_	 874877
d	 846572
o	 820776
e_	 805757
l	 660025
k	 561317
en	 535542
er	 449212
f	 443141
de	 441706
t_	 433567
m	 432741
_d	 380717
y	 355542
an	 343271
en_	 339053
h	 324595
g	 322082
in	 314437
u	 313694
_f	 298637
ar	 294300
w	 288399
de_	 286615
.	 285655
te	 278775
p	 272080
Ã	 271871
._	 269818
_i	 269593
_de	 263034
b	 261619
j	 237457
_de_	 234307
r_	 231729
s_	 218547
st	 214925
an_	 209113
,	 203784
,_	 203183
_s	 195438
-	 192988
_e	 190658
ie	 187131
oa	 182104
it	 173956
fa	 171497
c	 170575
_w	 168437
_o	 165996
ne	 165189
ke	 160440
_fa	 158398
fan	 152937
yn	 151952
ei	 150901
_fan	 149021
fan_	 148729
_b	 146700
_fan_	 146617
er_	 145831
-_	 141364
ea	 139955
_-	 139711
_t	 139691
ch	 138820
re	 136922
ge	 131246
me	 128147
yn_	 125942
le	 125353
_m	 124084
el	 123791
sk	 123705
it_	 122811
_y	 119930
_yn	 118505
in_	 118173
is	 117706
ri	 116406
_h	 114363
_-_	 113763
aa	 112852
rd	 110419
_en	 110078
_en_	 108201
_it	 105161
ng	 104910
_it_	 103898
oar	 102844
_yn_	 102150
li	 101849
at	 101376
d_	 101172
D	 99676
je	 98813
et	 96744
_in	 96442
k_	 96252
_D	 93856
_in_	 93518
al	 92662
nt	 92161
ro	 91208
oe	 91124
_k	 90948
be	 88436
as	 88069
te_	 85926
es	 85550
rs	 85287
_n	 84669
ns	 84254
ti	 81814
(	 79352
i_	 79347
)	 79238
nd	 78820
S	 78635
»	 78150
_(	 78067
Ã»	 77787
der	 76250
se	 76042
ing	 74848
we	 73403
ei_	 73025
ts	 72659
_.	 72318
_l	 71518
tr	 71102
ste	 70822
_S	 70590
_._	 70330
_g	 70286
om	 69864
ar_	 69348
sj	 69269
z	 68608
_Ã	 68151
ek	 68079
_,	 67959
fe	 67870
_,_	 67740
y_	 66955
op	 66069
_a	 65998
h_	 65732
¢	 65497
Ã¢	 65377
l_	 65073
ear	 64889
ke_	 64845
ur	 64804
fo	 64360
oc	 63919
m_	 63516
ter	 62872
is_	 62709
ten	 62630
ch_	 62450
ed	 62194
ma	 61922
och	 61603
nn	 61239
wi	 61218
De	 61153
v	 60223
rt	 60175
ers	 59950
am	 59863
_De	 59527
_me	 59183
_be	 59129
p_	 58890
wa	 58742
a_	 58704
F	 58363
on	 57323
la	 57241
ol	 56872
'	 56840
ra	 55957
ik	 55953
ni	 55661
)_	 55491
ta	 54955
at_	 54747
ard	 54740
_p	 54473
_F	 54432
di	 53447
g_	 53096
oan	 53071
ha	 52968
De_	 52365
ª	 52288
_oa	 52215
ske	 52140
Ãª	 52119
»n	 51808
Ã»n	 51808
B	 51574
tt	 51309
_De_	 51076
I	 51040
_is	 50440
ji	 49732
_fo	 49469
nne	 49468
ld	 49352
ll	 49220
ng_	 49054
fer	 48956
_fe	 48205
n.	 47298
da	 47271
id	 47234
H	 47151
_op	 47064
_is_	 46612
n._	 46423
Ã¢n	 46222
¢n	 46222
_B	 46003
_st	 45979
ee	 45887
ht	 45487
pe	 45430
_wi	 45283
ko	 45234
_I	 45145
ken	 44997
º	 44708
Ãº	 44419
he	 44414
nde	 44410
mei	 44203
_H	 44082
cht	 43995
A	 43958
_ne	 43383
or	 43362
tte	 43068
sje	 42445
ne_	 42035
ing_	 42028
jo	 41981
et_	 41971
il	 41940
_fer	 41905
foa	 41717
:	 41588
foar	 41382
ie_	 41324
wu	 41308
ka	 41240
wur	 41007
je_	 40593
aar	 40510
_r	 40342
ak	 40015
na	 39874
si	 39858
lÃ	 39593
_mei	 39555
den	 39509
_oan	 39337
_)	 39321
rde	 39262
_ha	 38958
:_	 38952
ten_	 38782
rr	 38657
rk	 38383
N	 38370
_wa	 38255
us	 37862
ki	 37691
_foa	 37549
_foar	 37524
M	 37463
to	 37378
och_	 37318
_A	 37186
mei_	 37013
op_	 36451
ou	 36341
ier	 35636
ut	 35599
wie	 35521
hi	 35439
K	 35384
ien	 35376
ske_	 35335
ic	 35307
_mei_	 35302
ys	 35132
ig	 35005
der_	 34995
gr	 34920
T	 34742
re_	 34543
_wu	 34204
_wur	 34170
waa	 34081
_tr	 33972
_M	 33961
rn	 33820
en.	 33779
_wie	 33668
urd	 33564
_te	 33531
L	 33481
e.	 33435
mm	 33426
en._	 33283
ze	 33214
ij	 33190
em	 32890
oar_	 32881
_op_	 32669
e._	 32578
_N	 32355
eg	 32306
Ãºt	 32284
ºt	 32284
mi	 32194
't	 32160
as_	 32070
_K	 31978
't_	 31957
dy	 31949
oer	 31875
tro	 31799
_waa	 31443
aard	 31407
art	 31204
ad	 31172
wurd	 31149
waar	 31143
rre	 31052
le_	 30930
nen	 30784
_waar	 30744
_T	 30705
lle	 30245
bi	 30220
kr	 30088
inn	 30079
lÃ¢	 30068
lÃ¢n	 30057
roc	 29938
waard	 29911
rd_	 29810
sp	 29602
roch	 29531
no	 29439
W	 29222
pr	 29084
ge_	 29021
sy	 28942
nt_	 28931
ren	 28904
bo	 28901
gen	 28679
_ge	 28462
O	 28424
ich	 28380
P	 28296
by	 28142
_wurd	 28091
(_	 28072
mme	 28066
_da	 27884
_L	 27884
_ma	 27884
G	 27839
Y	 27812
sti	 27795
lo	 27763
yk	 27641
rÃ	 27614
ry	 27599
den_	 27465
_(_	 27447
_)_	 27386
lik	 27383
R	 27357
dat	 27265
_Y	 27140
st_	 27065
