_	 781913
i	 171673
o	 156231
a	 134845
e	 133197
i_	 89031
'	 79332
u	 78482
l	 77644
n	 77506
.	 71706
o_	 70525
u_	 64802
c	 62063
oi	 57981
r	 57671
k	 52384
a_	 50949
._	 47986
_l	 47902
_c	 44653
d	 39979
z	 38900
cu	 38548
cu_	 38089
_cu	 37981
_cu_	 37630
e_	 37407
e'	 36957
_z	 36938
_k	 35571
s	 34889
b	 34541
_.	 34210
t	 33268
zo	 33100
_zo	 32887
zoi	 32738
_zoi	 32626
m	 32402
i.	 32310
i._	 32301
oi.	 32289
oi._	 32288
zoi._	 32285
zoi.	 32285
_zoi.	 32274
ke	 31718
_ke	 30554
'o	 28087
'o_	 27796
g	 26833
la	 25710
oi_	 25467
j	 23627
_n	 23410
_d	 23278
_la	 23124
'a	 22027
'i	 21920
'i_	 21551
de	 20767
no	 20694
lo	 20457
.i	 20207
_.i	 20195
_m	 19921
_j	 19698
'a_	 19567
.i_	 19497
_.i_	 19496
_de	 19482
e'i	 19296
e'i_	 19281
de'	 19128
de'i	 19120
de'i_	 19118
_de'	 19096
_de'i	 19091
lo_	 19049
a'	 18832
en	 18642
na	 18592
_no	 18357
be	 17655
a'o	 17361
a'o_	 17332
la'	 17191
_la'	 17159
_lo	 17145
la'o	 17031
_la'o	 17030
la'o_	 17017
na_	 16949
noi	 16827
noi_	 16819
_noi	 16816
_noi_	 16813
e'a	 16769
e'a_	 16746
ke'	 16631
_ke'	 16613
ke'a	 16575
ke'a_	 16574
_ke'a	 16565
i'	 16419
_lo_	 16362
ga	 15414
jb	 15055
ena	 15046
ben	 14976
ena_	 14947
_jb	 14918
jbe	 14892
_jbe	 14879
bena_	 14878
jbena	 14878
jben	 14878
bena	 14878
_jben	 14877
er	 14445
ke_	 13336
ra	 12898
ci	 12864
_ke_	 12861
_t	 12016
as	 11893
to	 11730
el	 11508
f	 11434
_g	 11342
ko	 11071
x	 10910
me	 10876
_._	 10875
y	 10625
nu	 10319
nu_	 9936
_me	 9689
i'o	 9608
i'o_	 9433
_s	 9277
p	 9209
_x	 8918
ci_	 8868
rk	 8829
ko_	 8749
_to	 8641
ac	 8564
mer	 8538
au	 8464
erk	 8436
ro	 8421
_mer	 8373
rko	 8306
rko_	 8281
erko	 8277
erko_	 8270
merk	 8270
_merk	 8270
merko	 8269
sn	 8255
dr	 8038
_f	 7981
asn	 7870
snu	 7849
snu_	 7830
asnu_	 7828
asnu	 7828
ar	 7819
ld	 7666
au_	 7631
_ga	 7576
dra	 7568
xe	 7536
bi	 7456
_xe	 7373
xel	 7347
aci	 7330
_xel	 7302
_b	 7298
aci_	 7298
eld	 7286
rac	 7283
gas	 7280
_gas	 7254
an	 7249
gasn	 7246
_gasn	 7245
gasnu	 7245
le	 7236
raci	 7211
raci_	 7204
drac	 7202
draci	 7202
ldr	 7153
ldra	 7136
xeld	 7135
ldrac	 7135
eldra	 7135
_xeld	 7135
xeldr	 7135
eldr	 7135
gau	 7103
gau_	 7085
ob	 6996
h	 6752
mr	 6601
bi'	 6545
obi	 6467
in	 6462
bi'o	 6427
bi'o_	 6427
_mr	 6413
to_	 6410
rob	 6369
mro	 6367
mrob	 6354
_mrob	 6352
_mro	 6352
robi	 6351
mrobi	 6350
obi'	 6348
robi'	 6348
obi'o	 6347
fi	 6217
n_	 6115
ri	 6113
la_	 5989
v	 5350
_la_	 5318
ni	 5090
li	 5086
_fi	 5081
_p	 4967
le_	 4812
_le	 4799
il	 4688
o'	 4555
_to_	 4227
toi	 4222
_toi	 4192
toi_	 4185
_le_	 4185
_toi_	 4180
te	 4139
s_	 4017
on	 4011
it	 3979
st	 3927
se	 3840
ag	 3801
'e	 3796
ti	 3785
ma	 3774
y_	 3700
_ci	 3623
'e_	 3472
sa	 3437
re	 3391
'u	 3225
rg	 3162
M	 3136
ba	 3128
'u_	 3078
_M	 3072
is	 3015
nt	 3014
gy	 2923
al	 2913
mi	 2827
_r	 2817
so	 2808
am	 2789
mo	 2783
je	 2763
r_	 2748
ka	 2747
S	 2737
i'a	 2707
_se	 2703
B	 2671
_S	 2661
yg	 2661
C	 2643
J	 2621
_B	 2598
_J	 2590
rga	 2583
_sa	 2572
ti_	 2561
yga	 2532
rgau	 2527
ygau_	 2525
ygau	 2525
rgau_	 2521
ta	 2517
ne	 2504
_C	 2501
arg	 2469
arga	 2415
argau	 2396
ku	 2388
br	 2387
'ar	 2381
A	 2377
_ni	 2375
ci'	 2363
at	 2356
ic	 2350
i'ar	 2338
'arg	 2330
'arga	 2330
i'arg	 2326
or	 2311
u'	 2300
_li	 2296
gi	 2285
_ci'	 2282
ci'a	 2279
je_	 2271
_A	 2267
_ci'a	 2250
ci'ar	 2250
fil	 2248
_fil	 2237
ilo	 2222
agy	 2217
i'e	 2213
sag	 2209
sagy	 2205
_sagy	 2204
_sag	 2204
ilo_	 2198
filo	 2193
ni'	 2193
_filo	 2192
filo_	 2190
_je	 2162
ni'o	 2145
i'e_	 2145
_ni'	 2127
_br	 2108
di	 2105
_ni'o	 2104
ni'o_	 2104
moi	 2082
l_	 2074
moi_	 2068
bri	 2048
no_	 2036
rit	 2033
si	 2024
es	 2000
R	 1995
_je_	 1979
ll	 1962
_bri	 1958
gyg	 1957
gyga	 1951
gygau	 1951
ko'	 1949
agyg	 1948
agyga	 1948
sagyg	 1947
_R	 1947
ito	 1939
t_	 1934
D	 1912
ito_	 1903
ca	 1899
int	 1895
brit	 1894
rito	 1890
d_	 1890
_brit	 1888
brito	 1885
rito_	 1884
er_	 1876
ik	 1868
L	 1866
o'a	 1864
o'a_	 1850
_D	 1842
bo	 1839
pa	 1835
_ko	 1833
nti	 1825
un	 1822
ji	 1820
_mo	 1811
ei	 1805
ni_	 1796
nd	 1794
sk	 1788
_L	 1776
H	 1775
_be	 1756
se_	 1747
_v	 1742
