_	 8437291
e	 2744794
n	 2165671
t	 1352350
r	 1282894
a	 1119515
n_	 991583
s	 983297
i	 980368
d	 828939
o	 733365
en	 684151
h	 680445
l	 630444
u	 614077
e_	 549147
er	 509656
t_	 502074
_d	 470504
Ã	 457646
en_	 445866
de	 420160
m	 400401
.	 383373
._	 356397
g	 341162
k	 340483
c	 329094
un	 324411
_de	 314641
v	 298957
b	 285866
,	 277497
r_	 276885
,_	 276459
w	 274759
ch	 271001
de_	 262630
s_	 259180
_de_	 253276
un_	 242466
p	 233585
an	 209067
te	 206808
he	 206161
f	 205035
ee	 201169
ne	 200564
in	 197353
¼	 197184
Ã¼	 196801
¶	 193002
Ã¶	 192878
_v	 191047
at	 185636
_i	 179271
er_	 167794
S	 165552
_s	 159547
st	 154670
_u	 151525
ie	 150378
vu	 147647
vun	 146393
_vu	 145243
_vun	 144350
is	 141399
_h	 140176
_S	 138707
_w	 138280
_.	 137771
_a	 137380
re	 137304
nn	 136623
sc	 136398
sch	 135022
_._	 135001
D	 134777
vun_	 132622
or	 132373
_vun_	 130930
rs	 127272
_D	 126691
â	 124288
ner	 124032
€	 123908
â€	 123347
el	 118861
at_	 117633
I	 116306
ge	 115177
_e	 114732
wa	 114440
it	 112648
ers	 111865
nd	 109889
le	 109395
_I	 109198
_in	 108743
_un	 108100
et	 106572
_,	 106134
_,_	 106007
_he	 105691
ar	 105190
da	 100165
rt	 99229
ve	 98702
to	 97450
d_	 97326
A	 96844
_un_	 96337
In	 95945
_In	 95185
_b	 93415
ah	 91729
me	 91040
ll	 90106
tt	 90062
B	 89233
in_	 89019
hn	 88190
k_	 86510
_da	 86160
ns	 85570
dat	 85528
se	 84795
_dat	 83122
_t	 83088
l_	 82615
_A	 82562
dat_	 82424
al	 82010
_dat_	 81359
M	 81307
™	 81150
â€™	 80891
€™	 80891
ri	 80033
_m	 79222
Ã¶r	 78353
¶r	 78353
_B	 78247
ke	 78083
h_	 78007
_in_	 77115
den	 77025
we	 76911
_M	 76284
nne	 75090
K	 74080
ten	 73549
_o	 72870
t.	 72471
si	 72438
che	 72384
rn	 71756
be	 71748
ahn	 71542
(	 71359
)	 71331
ei	 71029
li	 70509
eer	 70111
_K	 70084
_(	 69922
es	 69907
is_	 69862
_en	 69597
hr	 69424
-	 69261
