_	 1134317
a	 372736
i	 227712
e	 223966
n	 211078
s	 193357
r	 164427
l	 164051
t	 148095
a_	 144998
u	 123950
d	 120124
c	 104882
o	 76861
s_	 70229
_d	 63443
n_	 62526
m	 59330
p	 58731
da	 58206
g	 55474
h	 52926
er	 48692
v	 46346
la	 45089
_e	 43180
_da	 42964
en	 41779
in	 41052
_l	 40683
.	 38880
l_	 38715
ch	 38248
_s	 36682
da_	 36543
_c	 36350
an	 36206
._	 35575
un	 35413
_i	 34716
ra	 34197
as	 32572
nt	 32017
r_	 31134
_p	 30486
_da_	 28957
na	 28666
ta	 28262
al	 28136
z	 28096
la_	 27189
f	 26526
Ã	 26233
sc	 26149
_la	 24862
,	 24743
,_	 24652
il	 23907
b	 22421
e_	 21951
ar	 21860
ia	 21768
st	 21599
as_	 21422
_a	 20540
is	 20085
te	 20000
t_	 19977
ri	 19888
sch	 19791
ha	 19613
li	 19223
_la_	 19194
ad	 18138
i_	 17977
on	 17856
re	 17726
ur	 17696
_il	 17532
iu	 17311
es	 17303
er_	 17303
â	 16799
€	 16625
el	 16614
â€	 16589
ma	 15968
_t	 15808
it	 15297
un_	 15213
_v	 14909
ns	 14707
_m	 14533
de	 14392
_in	 14325
di	 14253
ls	 14157
cu	 14152
il_	 14096
ve	 14068
zi	 13921
en_	 13749
ti	 13740
iun	 13722
_ch	 13685
at	 13607
ent	 13583
_en	 13541
ca	 13532
in_	 13330
d_	 12964
pe	 12922
ls_	 12897
ic	 12793
va	 12703
_il_	 12592
si	 12340
na_	 12227
™	 12182
â€™	 12145
€™	 12145
sa	 12132
eg	 12047
ai	 11922
_f	 11813
tg	 11778
ts	 11680
ra_	 11509
or	 11304
ina	 11190
'	 11185
S	 11150
he	 11138
vi	 11114
tr	 11108
tu	 10945
co	 10942
nd	 10927
cha	 10741
_en_	 10709
al_	 10642
ziu	 10500
ziun	 10468
et	 10463
_cu	 10393
¨	 10338
Ã¨	 10327
_.	 10165
se	 10021
us	 9997
rt	 9988
ia_	 9947
ni	 9916
_._	 9899
ant	 9801
_e_	 9784
dal	 9781
_r	 9747
_Ã	 9718
ter	 9698
gi	 9693
_dal	 9583
per	 9502
ed	 9460
ss	 9432
L	 9426
che	 9379
_S	 9251
av	 9237
pa	 9222
au	 9090
an_	 9076
ll	 9062
ie	 9059
me	 8887
_L	 8868
I	 8836
_Ã¨	 8825
gn	 8686
_g	 8611
)	 8603
ro	 8602
(	 8579
pr	 8522
em	 8422
_h	 8394
ns_	 8387
_(	 8239
um	 8228
_n	 8036
_b	 8001
le	 7998
¨_	 7985
Ã¨_	 7982
rs	 7980
ue	 7935
ei	 7905
ol	 7897
ir	 7750
ina_	 7736
era	 7733
az	 7724
_I	 7703
iun_	 7568
ha_	 7501
_pe	 7463
C	 7435
_ha	 7375
q	 7331
las	 7285
id	 7272
qu	 7271
-	 7179
ut	 7166
ua	 7070
nc	 7069
_,	 7069
_,_	 7041
_Ã¨_	 7015
o_	 7001
mp	 6979
azi	 6937
_per	 6883
am	 6809
g_	 6804
E	 6779
 	 6749
fi	 6740
su	 6726
Ã 	 6663
cun	 6627
:	 6622
P	 6513
_di	 6502
aziu	 6497
aziun	 6491
dal_	 6490
_C	 6487
_re	 6471
_sc	 6431
_dal_	 6419
im	 6368
be	 6309
ga	 6296
 _	 6243
nta	 6198
:_	 6183
Ã _	 6174
_ve	 6174
ca_	 6172
iv	 6169
mi	 6154
las_	 6149
el_	 6148
nt_	 6083
_cun	 6063
A	 6016
tt	 5987
to	 5975
tsc	 5973
tsch	 5972
ist	 5972
ziun_	 5972
gl	 5965
a.	 5954
he_	 5940
_de	 5937
ne	 5933
tra	 5917
_si	 5892
lâ	 5872
lâ€	 5872
ul	 5858
nz	 5834
lâ€™	 5833
ada	 5807
egn	 5778
_lâ	 5729
_lâ€	 5729
_lâ€™	 5723
nte	 5706
_E	 5681
a._	 5680
_pr	 5631
ct	 5626
ica	 5597
ta_	 5593
_P	 5584
pl	 5573
ar_	 5552
)_	 5542
B	 5481
lla	 5480
s.	 5471
D	 5446
ec	 5435
_vi	 5428
_a_	 5427
ils	 5426
che_	 5398
scha	 5382
_ina	 5371
po	 5347
_co	 5344
sta	 5330
za	 5329
ils_	 5304
G	 5288
_ina_	 5272
han	 5256
M	 5252
hi	 5225
ng	 5222
ita	 5144
tad	 5119
ev	 5115
_pa	 5087
ci	 5046
s._	 5024
T	 5005
nn	 5004
_che	 4966
veg	 4961
isc	 4947
no	 4947
tg_	 4944
_q	 4941
art	 4932
per_	 4924
iz	 4909
_qu	 4908
sa_	 4888
_su	 4842
_che_	 4838
os	 4819
m_	 4771
_G	 4766
_M	 4756
_in_	 4748
_o	 4734
du	 4713
La	 4698
_ils_	 4691
_ils	 4691
l'	 4681
_cha	 4667
ed_	 4653
_u	 4643
pu	 4640
est	 4635
lu	 4631
_st	 4630
va_	 4613
_ha_	 4612
_se	 4599
nts	 4599
u_	 4575
ers	 4555
_veg	 4552
_La	 4545
ala	 4517
ran	 4510
ge	 4487
om	 4485
_el	 4475
R	 4470
_per_	 4465
_-	 4461
-_	 4458
_l'	 4457
ts_	 4456
_ma	 4452
_las	 4421
ag	 4413
nter	 4406
_D	 4405
vegn	 4399
_B	 4373
cun_	 4357
_ed	 4350
tan	 4335
uns	 4327
isch	 4297
_T	 4296
fe	 4287
_-_	 4281
Il	 4280
k	 4276
_cun_	 4274
ter_	 4258
ig	 4255
_las_	 4228
_pl	 4223
con	 4214
rs_	 4207
_Il	 4203
sp	 4200
_A	 4185
_te	 4170
als	 4127
