_	 190579
i	 41241
a	 40212
e	 38779
n	 36981
r	 20752
o	 19614
i_	 19366
s	 16532
t	 16445
n_	 15283
u	 14711
d	 12196
en	 11385
a_	 10734
an	 10340
k	 10055
e_	 9867
b	 9691
m	 9674
l	 9374
g	 8803
f	 8126
en_	 7942
u_	 7324
_e	 7056
si	 6776
_b	 6663
.	 6349
p	 6222
._	 6165
_a	 6105
_d	 6041
_e_	 5967
be	 5837
w	 5779
an_	 5737
_be	 5587
ben	 5501
_n	 5489
_ben	 5455
_t	 5411
si_	 5263
ri	 5011
is	 4979
_f	 4923
y	 4903
ar	 4537
_w	 4372
o_	 4357
,	 4225
,_	 4215
ki	 4182
ben_	 4167
in	 4155
_ben_	 4147
ng	 3984
na	 3885
de	 3813
isi	 3803
_a_	 3780
ma	 3766
wa	 3712
isi_	 3689
ti	 3437
ki_	 3388
wan	 3375
_m	 3355
te	 3293
_p	 3289
wan_	 3260
_wa	 3256
_o	 3252
ni	 3219
di	 3206
_wan	 3110
_wan_	 3048
fu	 3036
:	 2963
re	 2946
_na	 2938
ra	 2919
_s	 2890
fu_	 2866
on	 2866
_fu	 2850
ri_	 2827
ru	 2746
_fu_	 2731
as	 2664
er	 2610
h	 2594
_ma	 2556
D	 2552
ang	 2503
le	 2496
ta	 2475
ga	 2468
ni_	 2442
_D	 2422
_i	 2339
_k	 2317
ya	 2316
ak	 2305
(	 2302
_de	 2291
nga	 2256
anga	 2246
nan	 2246
ga_	 2219
nga_	 2186
anga_	 2182
fr	 2170
ari	 2154
al	 2124
)	 2093
_di	 2083
nang	 2073
:_	 2068
nanga	 2061
li	 2058
man	 2058
_nan	 2054
no	 2053
ini	 2051
_nang	 2050
_in	 2049
A	 2021
ek	 1983
yar	 1967
yari	 1960
ten	 1946
ro	 1908
_l	 1902
or	 1895
_te	 1883
_(	 1868
_y	 1866
_A	 1826
ini_	 1818
_no	 1800
_.	 1793
tu	 1770
_._	 1752
es	 1750
et	 1746
)_	 1743
c	 1731
dis	 1721
ari_	 1718
_ini	 1718
-	 1718
S	 1692
_dis	 1684
yari_	 1676
_ya	 1667
eki	 1664
_yari	 1663
_yar	 1663
_ini_	 1662
ge	 1653
man_	 1649
disi	 1643
i.	 1642
_g	 1639
i._	 1630
_disi	 1626
no_	 1623
disi_	 1613
_man	 1602
gi	 1587
nd	 1585
v	 1584
eki_	 1581
_no_	 1578
sa	 1576
Di	 1562
_Di	 1560
__	 1552
la	 1547
Dis	 1534
_Dis	 1534
___	 1529
aki	 1526
_ta	 1526
_man_	 1524
ko	 1512
Disi	 1508
_Disi	 1508
____	 1507
Disi_	 1506
_____	 1491
tak	 1477
aki_	 1473
den	 1458
fru	 1455
taki	 1453
_tak	 1447
_taki	 1442
om	 1439
s_	 1428
taki_	 1421
_S	 1391
_fr	 1381
_,	 1352
_,_	 1351
at	 1335
_ten	 1315
so	 1312
den_	 1311
m_	 1310
_le	 1299
pr	 1274
pa	 1238
ed	 1235
um	 1231
_den	 1218
op	 1204
tu_	 1204
st	 1183
_den_	 1181
y_	 1176
tr	 1172
ot	 1167
ab	 1167
asa	 1154
el	 1139
lek	 1138
_pr	 1135
ti_	 1126
r_	 1120
me	 1119
ten_	 1115
nt	 1113
leki	 1104
bi	 1098
t_	 1093
leki_	 1090
eti	 1083
_fru	 1072
ru_	 1066
ug	 1063
ba	 1060
_-	 1042
sa_	 1036
esi	 1027
M	 1014
po	 1005
eri	 1004
mi	 1003
_pa	 998
ne	 977
_ko	 976
nu	 969
pe	 962
ee	 959
dr	 954
n.	 952
n._	 942
ie	 939
_)	 937
de_	 933
pas	 933
to	 932
rug	 930
I	 930
get	 926
-_	 924
uge	 918
il	 914
frug	 913
_frug	 913
geti	 913
ugeti	 912
ruget	 912
fruge	 912
ruge	 912
uget	 912
res	 907
_pas	 904
ok	 897
kon	 891
asa_	 890
pasa	 880
ond	 880
j	 873
_pasa	 872
pre	 860
n,	 859
na_	 858
se	 857
n,_	 856
kt	 855
resi	 855
_I	 855
ngi	 852
ef	 849
li_	 848
A_	 844
ka	 842
_lek	 839
_leki	 838
ur	 826
_A_	 826
us	 824
ndr	 823
_v	 815
_ten_	 813
da	 813
wi	 805
gi_	 797
_pre	 795
am	 791
z	 789
gr	 777
eng	 776
ik	 773
rt	 770
_-_	 770
ol	 768
gu	 765
en,	 761
_ok	 760
en,_	 759
_)_	 754
_r	 754
ondr	 750
t:	 748
it	 746
P	 744
_ab	 738
d_	 734
_al	 730
i,	 729
i,_	 728
he	 727
id	 727
_so	 726
re_	 724
fi	 723
e.	 722
esi_	 722
bi_	 717
_op	 716
_h	 716
_wi	 711
engi	 710
e._	 710
_tu	 706
T	 705
_M	 703
pres	 703
r:	 701
teng	 701
(_	 700
tengi	 698
ben,	 696
dre	 696
_ben,	 696
ben,_	 696
ra_	 694
resi_	 689
en.	 686
ey	 686
presi	 685
en._	 685
os	 683
em	 683
ku	 682
_P	 682
abi	 680
_pres	 675
ktu	 665
ndre	 651
do	 651
_si	 643
go	 642
lo	 642
pi	 642
ondre	 641
pasa_	 637
opo	 633
ma_	 631
of	 620
okt	 620
abi_	 619
_u	 617
_ba	 617
we	 617
di_	 616
oktu	 616
kond	 615
dy	 614
on_	 613
B	 612
_T	 611
_okt	 611
num	 610
kondr	 610
_oktu	 610
