_	 990825
a	 269999
i	 158084
o	 140139
e	 133904
n	 131980
u	 110334
l	 92555
m	 86378
i_	 81022
√	 71849
k	 69588
g	 68309
t	 65749
y	 61828
d	 60366
r	 58136
u_	 56854
b	 54792
a_	 46928
oo	 44984
s	 42190
_n	 41567
,	 41300
aa	 40147
c	 38533
w	 37741
_d	 35748
_a	 34451
e_	 33254
j	 32118
_m	 31715
_c	 31420
_b	 31187
,_	 30258
n_	 29349
_y	 27214
ee	 27148
x	 26798
ci	 26228
_ci	 25121
al	 24465
an	 24357
ci_	 24074
_ci_	 23386
_l	 23375
m_	 23090
am	 22785
±	 22671
√±	 22592
na	 22165
y_	 22074
f	 21699
_g	 20686
on	 20523
k_	 19457
´	 19358
_w	 19202
_j	 19197
l_	 19028
√´	 19012
_k	 18519
_t	 18057
o_	 17923
ar	 17780
p	 17298
_√	 16753
_s	 16671
†	 16320
√†	 16314
la	 16286
.	 15475
g_	 15469
en	 15354
ma	 14852
ak	 14715
te	 14530
ko	 14257
ay	 14067
._	 13559
di	 13508
oon	 13172
kk	 12908
_na	 12832
_√±	 12821
da	 12785
ne	 12721
yi	 12627
ng	 12493
gi	 12426
bi	 12282
ba	 11914
on_	 11894
_ak	 11862
wa	 11765
le	 11740
ak_	 11690
r_	 11509
_yi	 11495
ta	 11484
li	 11245
xa	 11234
at	 11111
mu	 11093
©	 11032
_ko	 11017
√©	 10987
_ak_	 10837
am_	 10732
t_	 10728
ra	 10718
_x	 10622
ga	 10339
al_	 10243
ii	 10209
om	 10067
_bi	 10038
oon_	 9894
mo	 9826
_di	 9586
ol	 9534
lu	 9323
_f	 9322
nu	 8999
nd	 8976
de	 8917
ri	 8910
ay_	 8768
sa	 8716
)	 8593
(	 8507
ll	 8338
oom	 8264
s_	 8155
_ne	 8103
re	 8095
-	 8064
_mu	 8015
ax	 7989
moo	 7955
ka	 7942
_da	 7809
it	 7755
i,	 7754
oo_	 7702
_ma	 7604
gu	 7597
_gi	 7553
te_	 7500
tu	 7493
_(	 7488
bu	 7449
lo	 7393
_wa	 7368
yu	 7360
di_	 7355
ko_	 7330
_ng	 7319
in	 7317
_de	 7211
yi_	 7206
na_	 7149
_ba	 7141
_ko_	 7092
_mo	 7077
mu_	 7052
_xa	 7014
mb	 6991
een	 6987
j√	 6972
aw	 6934
_la	 6893
nu_	 6754
la_	 6744
_r	 6630
h	 6625
ag	 6608
_yi_	 6590
bo	 6582
b_	 6500
aan	 6459
nn	 6424
_moo	 6388
ni	 6330
do	 6308
yu_	 6303
_te	 6297
er	 6285
A	 6260
√±u	 6212
±u	 6212
lu_	 6209
oy	 6181
du	 6151
om_	 6134
ju	 6120
or	 6035
nt	 6013
_di_	 6003
x_	 5962
fa	 5906
el	 5905
ig	 5898
ja	 5896
gg	 5872
i,_	 5846
g√	 5830
wo	 5824
ti	 5807
)_	 5782
ek	 5777
ya	 5758
w_	 5745
oom_	 5719
ul	 5718
en_	 5677
_bu	 5677
bi_	 5661
an_	 5600
xam	 5549
ne_	 5542
©e	 5533
√©e	 5533
kk_	 5530
ug	 5524
bu_	 5524
ir	 5500
pp	 5465
aay	 5449
_A	 5364
_j√	 5345
ur	 5305
_sa	 5293
ca	 5283
aa_	 5258
_mu_	 5254
ku	 5253
is	 5216
_na_	 5203
ool	 5203
lee	 5192
_yu	 5163
gi_	 5156
gu_	 5095
mi	 5081
ag_	 5037
_bi_	 5036
_wo	 5014
±u_	 4990
√±u_	 4990
