_	 843506
i	 240563
a	 208835
u	 139964
n	 136730
e	 130805
r	 110056
t	 109492
s	 89222
c	 83439
i_	 79469
o	 77031
a_	 74510
l	 71416
d	 65277
u_	 61272
√	 55249
m	 49674
p	 42577
_d	 40617
h	 36403
di	 35921
e_	 35761
_di	 30038
,	 30023
,_	 29870
g	 29696
di_	 27663
in	 27379
an	 27005
_c	 26615
_di_	 26259
v	 24350
.	 24035
ti	 23641
ri	 23420
or	 23381
_a	 23016
en	 22916
_s	 22879
_l	 22568
f	 21953
®	 21843
√®	 21832
._	 21709
nt	 21696
n_	 21374
®_	 21043
√®_	 21041
ca	 20371
_u	 20370
si	 20216
_p	 20110
er	 19209
ni	 19135
ic	 19086
ia	 19073
ta	 18792
tu	 18779
C	 18073
_i	 18072
_√	 18065
ar	 17736
ra	 17607
un	 17596
te	 17205
_C	 17201
na	 16858
on	 16606
at	 16379
'	 16333
li	 16268
†	 15574
√†	 15502
z	 14973
†_	 14545
√†_	 14486
h√	 14153
cu	 13997
al	 13101
ci	 12994
ti_	 12832
it	 12819
st	 12757
b	 12607
_a_	 12565
ch	 12550
_in	 12516
j	 12497
hj	 12067
me	 12041
es	 11986
tu_	 11667
re	 11519
la	 11501
nu	 11207
ica	 11189
ent	 11144
rs	 11027
mi	 10974
_m	 10952
_u_	 10850
ca_	 10659
_f	 10560
im	 10457
tt	 10390
in_	 10069
is	 9985
ne	 9923
nti	 9822
L	 9803
am	 9779
_h	 9721
ma	 9433
_in_	 9409
_L	 9330
le	 9315
te_	 9142
_h√	 9061
lu	 9019
h√®	 8996
ica_	 8949
h√®_	 8925
_t	 8751
sc	 8642
_h√®	 8596
ss	 8565
_h√®_	 8552
as	 8493
ro	 8459
su	 8439
tr	 8397
i,	 8337
i,_	 8314
pa	 8307
ve	 8287
_un	 8244
io	 8194
A	 7995
na_	 7994
ia_	 7985
men	 7970
nti_	 7919
_√®	 7899
rt	 7894
_√®_	 7835
ru	 7819
gh	 7716
se	 7691
I	 7650
ors	 7626
ment	 7557
_√†	 7551
_√†_	 7521
da	 7468
zi	 7457
ta_	 7354
nu_	 7283
iu	 7149
M	 7106
S	 7095
enti	 7086
va	 7068
ghj	 7040
l'	 6957
Co	 6946
_Co	 6894
ul	 6884
_.	 6813
_e	 6757
_M	 6750
nd	 6669
_l'	 6665
(	 6664
rsi	 6656
sic	 6653
_cu	 6630
)	 6629
_(	 6564
ur	 6562
_._	 6520
pi	 6506
enti_	 6478
_ch	 6473
lu_	 6390
_v	 6385
Cor	 6372
R	 6370
_Cor	 6348
_S	 6298
sa	 6295
orsi	 6295
pr	 6279
Cors	 6266
_Cors	 6250
_A	 6235
ce	 6210
sica	 6194
_g	 6171
et	 6169
co	 6150
nn	 6149
ni_	 6130
rsic	 6025
orsic	 6014
ion	 6010
rsica	 6006
la_	 5986
Corsi	 5984
os	 5975
du	 5956
ant	 5933
menti	 5854
ig	 5843
¨	 5830
_I	 5830
_R	 5796
√¨	 5795
ne_	 5783
ac	 5753
ime	 5750
ll	 5748
po	 5724
um	 5687
to	 5650
sica_	 5648
o_	 5642
de	 5638
ami	 5633
imen	 5586
_,	 5573
iment	 5564
_,_	 5545
pe	 5507
una	 5504
_pa	 5499
pu	 5471
el	 5439
mi_	 5405
P	 5403
oni	 5399
π	 5317
cc	 5316
