_	 75347619
e	 32297688
n	 19172975
i	 16152863
r	 15728659
t	 12421512
s	 11643806
a	 11322265
d	 9313893
u	 7944517
h	 7843872
er	 7557299
l	 7491474
en	 6399511
n_	 6260230
o	 5887280
c	 5362640
g	 5335373
e_	 4977320
m	 4815575
ch	 4605953
r_	 4505900
de	 4442287
_d	 4040954
en_	 3615945
b	 3586713
te	 3564580
in	 3472707
er_	 3464250
ei	 3448843
ie	 3178288
Ã	 3174011
.	 2988500
f	 2941843
nd	 2713423
s_	 2681313
._	 2657290
t_	 2572057
un	 2545165
,	 2411712
_de	 2405128
,_	 2401175
w	 2355942
k	 2316991
ge	 2267683
z	 2163927
st	 2091409
es	 1971653
an	 1930989
he	 1882450
der	 1840029
_e	 1794294
p	 1776370
ne	 1769156
is	 1766713
re	 1740430
S	 1729241
be	 1700149
d_	 1688274
it	 1669793
_a	 1649058
m_	 1625063
ng	 1575697
v	 1573366
_i	 1560543
sc	 1534167
sch	 1516099
der_	 1465190
_S	 1462410
on	 1430391
ie_	 1421244
nd_	 1415897
ic	 1408048
ein	 1359318
el	 1357935
_s	 1338933
_u	 1334358
se	 1320237
au	 1276026
_der	 1275670
li	 1275626
di	 1268216
und	 1263747
_der_	 1254217
ich	 1244269
le	 1236697
al	 1212697
che	 1210373
_un	 1200994
in_	 1148229
D	 1146178
h_	 1142342
¼	 1138433
Ã¼	 1134629
A	 1120816
_w	 1116661
B	 1107704
ar	 1091172
und_	 1083421
ch_	 1081879
nt	 1072207
ur	 1058222
_und	 1041744
_und_	 1039472
ri	 1032353
_D	 1024995
¤	 1021929
Ã¤	 1019601
_v	 989213
die	 984308
rt	 981419
_A	 974188
ra	 973931
or	 964448
ti	 960365
_di	 948534
den	 941978
_B	 940484
g_	 935185
_die	 921024
-	 911247
at	 908107
et	 890552
ung	 885720
ter	 879246
M	 874306
em	 874090
ten	 872791
_b	 871190
ine	 856963
us	 853233
si	 847609
_ei	 839541
me	 825886
hr	 825415
te_	 818157
_in	 816712
_ein	 812478
die_	 809756
es_	 808327
nde	 803808
_die_	 801218
E	 792208
)	 789213
(	 788156
as	 784350
rd	 780729
_M	 776535
_(	 771895
ll	 769659
G	 763630
_.	 762039
on_	 750594
rs	 744132
gen	 743249
eine	 740885
_z	 732569
we	 727822
ns	 721831
_in_	 719144
_._	 718928
ss	 715152
ig	 712108
vo	 710040
_E	 709362
K	 707583
ha	 704761
P	 697895
ht	 693182
F	 689501
den_	 686309
ste	 684238
_G	 682572
na	 680612
ni	 674286
ta	 673178
zu	 659638
_g	 657066
la	 656680
sche	 647427
hen	 644444
_au	 644067
_,	 643804
W	 642456
_,_	 641779
_vo	 641035
_K	 640449
eit	 632452
il	 630954
:	 627066
ng_	 625779
H	 620788
_F	 616071
ten_	 611822
am	 610567
mi	 607323
_m	 602686
da	 600091
cht	 598823
_P	 598628
_be	 597232
T	 590725
:_	 589764
R	 585938
_W	 582211
â	 579453
isc	 577176
L	 573603
isch	 572712
lt	 569694
_er	 568752
€	 567659
ac	 567102
I	 564675
ts	 562711
it_	 562672
eg	 562582
â€	 560277
l_	 551907
_n	 551447
ve	 550237
nn	 549638
eb	 544743
ol	 539776
_H	 539396
tr	 539073
uf	 537419
ber	 535609
N	 534627
