_	 1404589
e	 352050
a	 318686
o	 252931
n	 243849
s	 206072
i	 204929
r	 197057
t	 144819
k	 139735
j	 137266
≈	 126462
w	 119707
l	 118150
u	 117639
ƒ	 116893
d	 96783
e_	 91606
h	 89362
m	 89034
a_	 85249
.	 83848
c	 81901
._	 75043
je	 74719
y	 72049
p	 70930
,	 61447
,_	 61345
b	 60842
õ	 57586
ƒõ	 57342
er	 54452
z	 51833
en	 50393
√	 47227
_s	 46904
sk	 46825
)	 43266
(	 43112
_(	 42822
_w	 42546
ow	 40751
na	 38059
ch	 37458
°	 37338
st	 35843
in	 35605
je_	 35376
an	 34752
Ç	 34685
≈Ç	 34135
≈°	 33791
)_	 31652
o_	 30537
li	 29797
te	 29091
á	 29022
ƒá	 28858
ke	 28466
y_	 27663
os	 27590
_p	 27437
nj	 27008
æ	 26734
ç	 26633
ƒç	 26507
ne	 26373
ro	 26305
≈æ	 26033
W	 25243
is	 24589
ra	 24451
_W	 24434
B	 24090
:	 23737
_d	 23331
-	 23274
≥	 23094
:_	 22976
√≥	 22839
ni	 22617
g	 22596
ske	 22579
R	 22386
n_	 21799
se	 21625
S	 21602
_r	 21441
or	 21377
_z	 21305
e.	 20859
_R	 20838
wa	 20829
e._	 20709
_a	 20557
_j	 20482
_m	 20465
na_	 20428
_n	 20412
_k	 20381
i_	 19906
wo	 19327
ki	 19131
ja	 19088
le	 18938
la	 18874
ko	 18865
_B	 18582
ka	 18471
ic	 18366
ej	 18259
ny	 17953
m_	 17769
_≈	 17539
ac	 17389
jen	 17047
w_	 16995
_h	 16968
h_	 16887
N	 16647
ho	 16614
_S	 16403
ch_	 16257
ot	 16156
K	 16149
s_	 16134
nje	 16106
aƒ	 16055
f	 16002
on	 15846
bs	 15750
_)	 15660
_K	 15549
do	 15510
_je	 15465
(_	 15433
_(_	 15409
ha	 15374
rb	 15077
ta	 15003
ri	 14887
ns	 14784
_wo	 14632
ik	 14481
_-	 14391
u_	 14184
-_	 14160
lin	 14120
tr	 14084
_-_	 13870
A	 13801
erb	 13768
ce	 13745
k_	 13718
_N	 13690
po	 13684
P	 13580
ad	 13563
ol	 13560
_)_	 13559
ar	 13469
re	 13168
to	 13131
D	 13102
_na	 13098
mj	 13089
at	 13052
Ço	 12963
≈Ço	 12962
_a_	 12945
ski	 12903
mje	 12704
rbs	 12650
erbs	 12641
bsk	 12548
rbsk	 12483
