_	 6242959
a	 1468923
e	 1019434
i	 978564
o	 858668
s	 807234
l	 575919
n	 568111
r	 529408
u	 500120
a_	 498002
.	 442202
._	 435614
d	 407060
_e	 375432
m	 362058
o_	 361173
t	 347225
i_	 327708
s_	 315706
as	 310509
_.	 297088
_._	 296440
_d	 277311
p	 275337
as_	 265268
la	 260126
,	 240243
,_	 240069
e_	 237709
la_	 221928
es	 216766
_l	 201412
k	 195367
v	 182924
sa	 177172
di	 176208
_la	 167352
sas	 161252
h	 159265
_la_	 157029
sas_	 154230
an	 150064
_es	 149462
%	 148626
_%	 148611
esa	 148595
%_	 148406
_%_	 148395
_di	 147244
esas	 147124
_p	 143335
esas_	 140286
b	 140061
di_	 138093
_esa	 137096
_esas	 136395
_di_	 136264
_h	 135360
en	 133004
_,	 123317
_,_	 123297
na	 118722
de	 117552
mi	 115783
g	 109540
n_	 108726
ri	 106475
ar	 104601
f	 104116
om	 102924
ta	 100905
ra	 100551
z	 98956
in	 96243
li	 95426
_de	 92748
_e_	 92655
re	 90450
su	 90433
ev	 89193
al	 86610
ti	 84911
_s	 83870
de_	 81888
ul	 80688
c	 80473
_m	 80291
_de_	 79750
po	 78942
il	 77721
q	 74843
qu	 74719
_k	 74344
-	 69701
_r	 69491
L	 69181
er	 68191
_L	 68151
lo	 67292
_a	 66385
to	 65592
ana	 65156
_o	 64371
me	 64049
_q	 63308
_qu	 63293
is	 62900
va	 62780
_po	 62518
_t	 62387
en_	 60808
ur	 59955
_ev	 59849
ala	 59771
ha	 59766
La	 59735
za	 59433
_La	 59430
or	 58937
ez	 58760
(	 57846
)	 57809
_(	 57308
nt	 57238
ala_	 57230
_u	 56697
ari	 56182
ro	 56024
ma	 55675
_ha	 55206
vas	 55163
vas_	 54888
_en	 53389
on	 52899
r_	 52569
nd	 51908
_en_	 51837
La_	 51592
_La_	 51373
it	 51117
em	 51050
lu	 51046
ri_	 50832
un	 50633
so	 50271
rb	 48838
ni	 48806
y	 48548
_f	 47972
ho	 47827
_me	 47799
ua	 47471
am	 47408
bo	 47293
io	 46725
ta_	 46618
st	 46517
urb	 46514
si	 46411
_o_	 46077
_ho	 45838
do	 45793
na_	 45641
hom	 45573
_hom	 45325
zal	 44623
zala	 44591
mez	 44587
zala_	 44570
up	 44560
eza	 44497
_mez	 44479
;	 44429
fa	 44235
meza	 44141
ezal	 44136
_meza	 44131
ezala	 44129
mezal	 44096
i.	 43740
&	 43728
i._	 43608
ko	 43335
ulo	 43267
rbo	 43159
ve	 42978
_ur	 42891
_urb	 42845
_;	 42397
sup	 42315
ua_	 42237
p_	 42106
urbo	 41829
up_	 41560
&s	 41473
sup_	 41472
&su	 41468
&sup_	 41468
&sup	 41468
ka	 41360
he	 41301
omi	 41053
_re	 40736
_su	 40558
tr	 40116
vo	 39966
l_	 39752
ita	 39385
ili	 39237
av	 39056
o.	 38918
o._	 38625
_urbo	 38442
gr	 38278
pl	 38060
qua	 37789
ari_	 37561
uo	 37080
o,	 37044
o,_	 37033
a,	 36942
