_	 1476930
a	 792761
n	 582394
i	 381661
y	 293200
o	 279045
y_	 263493
a_	 212154
an	 203129
t	 200793
e	 185631
r	 179974
ny	 165489
m	 158741
ny_	 158188
na	 137561
s	 133254
in	 119169
_a	 105265
d	 93815
na_	 88991
ra	 88362
'	 83805
k	 81540
n'	 79147
f	 75738
am	 75049
h	 71108
_n	 70921
o_	 70913
l	 69375
ia	 67501
ana	 66084
'n	 63053
'ny	 63030
n'n	 63028
n'ny	 63015
'ny_	 63012
n'ny_	 62998
mi	 62776
_f	 53612
en	 53462
_t	 52501
on	 52332
p	 50415
ka	 50054
it	 48961
_m	 48210
no	 46783
in'	 46552
€	 45493
ma	 44045
ar	 43894
ami	 43396
_am	 43210
te	 43185
at	 42729
in'n	 42224
in'ny	 42218
.	 42193
_ny	 42156
_ny_	 42142
min	 42112
di	 41655
_i	 41028
ana_	 40958
._	 40487
min'	 40340
_s	 40006
amin	 39822
amin'	 38567
min'n	 38214
ha	 38140
,	 37598
,_	 37453
v	 37170
z	 36976
_d	 36233
fa	 34703
tr	 34464
ten	 34426
ta	 34327
sa	 34224
ia_	 33412
_ami	 33351
_amin	 33236
ina	 32823
_k	 32518
nd	 31858
_di	 31538
dia	 30243
as	 29693
_dia	 29424
dia_	 29186
eny	 28985
_dia_	 28926
ã	 28723
la	 28697
sy	 28674
eny_	 28055
_an	 27623
or	 27596
teny	 27468
teny_	 27335
oa	 27202
ri	 26612
ts	 26440
kan	 26224
sy_	 26029
si	 25830
pi	 25161
ina_	 25137
to	 24562
-	 24376
an'	 24343
b	 24270
fi	 24243
ai	 24205
_ma	 24141
mp	 23698
ra_	 23689
j	 23275
man	 23116
any	 23086
_fa	 23084
i_	 22939
ni	 22726
tra	 22665
u	 22556
ne	 21971
N	 21898
nt	 21672
re	 21536
ara	 21015
any_	 20851
ã€	 20695
€€	 20694
ã€€	 20693
g	 20683
mpi	 20510
€ã	 20504
ã€€ã	 20468
€€ã	 20468
€ã€	 20467
€ã€€	 20467
ã€€ã€	 20465
€€ã€€	 20465
€€ã€	 20465
€ã€€ã	 20336
_fi	 20213
za	 20125
_N	 20030
ain	 20001
dr	 19615
ite	 19184
eo	 19112
so	 18691
_h	 18624
Ã	 18307
asa	 18214
ran	 17736
iten	 17734
atr	 17720
pia	 17568
ano	 17417
ty	 17288
mpia	 17267
ro	 17202
ndr	 17138
ak	 17087
Ny	 16980
om	 16955
_Ny	 16936
Ny_	 16930
_te	 16896
_Ny_	 16886
_ka	 16840
tan	 16773
amp	 16753
iteny	 16654
ty_	 16207
ias	 16205
iasa	 16170
fit	 16146
an'n	 16111
an'ny	 16104
and	 15897
eo_	 15835
is	 15829
iz	 15769
ampi	 15757
tra_	 15648
_fit	 15614
'i	 15588
_man	 15412
pias	 15331
mpias	 15325
piasa	 15312
ao	 15301
rat	 15251
(	 15240
ik	 15238
_(	 15144
)	 15134
ora	 15040
ah	 14988
_kan	 14935
a.	 14922
_ten	 14919
nan	 14856
ko	 14819
ampia	 14784
a._	 14668
oa_	 14512
e_	 14446
ho	 14349
_ta	 14177
er	 14015
fite	 13890
_fite	 13882
fiten	 13870
ol	 13833
nj	 13827
_l	 13821
A	 13783
av	 13513
orat	 13487
aina	 13399
_mi	 13380
ika	 13337
ona	 13324
n'i	 13250
_ts	 13223
_no	 13137
sin	 13047
aha	 13042
io	 13041
aina_	 12993
non	 12918
al	 12625
ity	 12337
az	 12278
fan	 12271
anj	 12268
vo	 12263
sai	 12228
oh	 12108
sain	 12108
ir	 11938
_A	 11868
_ko	 11778
asain	 11762
asai	 11762
rin	 11753
iasai	 11740
atra	 11714
ka_	 11695
ian	 11607
ind	 11567
ant	 11463
_e	 11462
ity_	 11391
ani	 11388
_r	 11377
lo	 11337
_na	 11230
one	 11200
sor	 11180
iza	 11165
nana	 11154
_si	 11060
sora	 10865
aka	 10805
sorat	 10798
