_	 87776
a	 19109
i	 18565
n	 17530
e	 15306
o	 13404
l	 12307
t	 10682
s	 8985
m	 7196
r	 6972
g	 6924
p	 6046
on	 5167
ng	 4931
u	 4703
g_	 4436
ng_	 4377
a_	 4209
lo	 4086
i_	 3988
ong	 3978
ong_	 3899
an	 3863
b	 3813
,	 3721
,_	 3715
lon	 3682
k	 3672
long	 3657
long_	 3608
n_	 3524
d	 3448
.	 3329
_t	 3186
_i	 3186
h	 3186
._	 3117
in	 3114
la	 2951
_l	 2890
e_	 2749
s_	 2631
_b	 2501
m_	 2453
_,	 2379
_,_	 2377
_lo	 2365
w	 2347
el	 2328
_o	 2323
c	 2257
pe	 2245
_lon	 2208
_long	 2207
il	 2036
bi	 1978
_i_	 1892
_bi	 1890
ta	 1866
ela	 1849
pel	 1838
em	 1828
la_	 1827
pela	 1815
ela_	 1790
pela_	 1785
t_	 1746
_.	 1723
_w	 1718
ol	 1711
l_	 1705
_._	 1698
f	 1692
er	 1676
ai	 1652
_a	 1640
_s	 1583
ri	 1576
_n	 1575
y	 1569
is	 1556
en	 1552
na	 1528
_e	 1523
ti	 1487
im	 1464
th	 1446
he	 1445
bil	 1428
_bil	 1420
ilo	 1419
ilon	 1384
ilong	 1381
bilo	 1380
_bilo	 1380
bilon	 1379
es	 1334
d_	 1324
v	 1290
ma	 1279
re	 1267
wa	 1251
nt	 1244
at	 1239
_em	 1202
im_	 1194
st	 1190
_na	 1173
o_	 1169
_p	 1168
_m	 1158
mi	 1124
as	 1122
_wa	 1103
nd	 1097
he_	 1094
_th	 1093
un	 1093
the	 1086
it	 1083
li	 1080
_k	 1071
_ol	 1041
ap	 1041
wan	 1040
ar	 1035
am	 1033
au	 1022
to	 1022
ra	 1014
(	 997
)	 996
_(	 977
ka	 970
_wan	 970
_the	 963
se	 957
si	 937
te	 911
in_	 908
the_	 902
or	 898
_the_	 897
me	 895
ik	 890
ol_	 885
al	 862
_ta	 844
ia	 843
em_	 841
ni	 834
k_	 833
)_	 832
np	 811
npel	 808
npela	 808
npe	 808
na_	 807
S	 801
anp	 794
anpe	 792
anpel	 792
wanp	 781
wanpe	 780
_wanp	 778
_na_	 774
mi_	 771
sa	 750
le	 747
tr	 739
sp	 738
and	 729
T	 727
ed	 726
aun	 716
_ka	 707
ok	 697
_g	 693
ing	 692
an_	 678
un_	 673
emi	 673
_S	 671
of	 670
y_	 665
emi_	 663
_emi	 663
_emi_	 663
ga	 658
en_	 656
_in	 656
de	 654
ve	 651
_of	 648
_d	 644
_ol_	 632
p_	 629
es_	 625
nd_	 620
P	 620
ro	 620
aun_	 620
man	 619
f_	 606
ne	 606
ri_	 604
r_	 600
_T	 598
_ma	 598
di	 593
io	 591
ant	 583
of_	 581
_of_	 580
and_	 578
ns	 573
A	 572
_an	 570
tu	 569
tau	 569
et	 567
_P	 566
N	 565
_c	 564
_tau	 563
at_	 561
taun	 556
-	 556
_taun	 552
as_	 550
_to	 547
taun_	 545
ed_	 545
pi	 541
ha	 537
I	 528
_f	 520
M	 512
lan	 507
_y	 505
ap_	 502
eri	 495
L	 495
O	 493
ia_	 489
ic	 486
_h	 486
_N	 486
pl	 485
_and	 484
_and_	 482
ion	 478
_r	 476
_em_	 475
_sa	 474
ain	 472
_M	 467
ge	 467
us	 464
pa	 463
_L	 462
:	 458
_A	 446
ki	 444
B	 441
;	 438
ing_	 435
_O	 435
tin	 434
co	 432
on_	 428
is_	 425
h_	 425
om	 423
mer	 422
u_	 422
ea	 417
G	 412
no	 411
so	 410
sta	 409
E	 408
_I	 407
ut	 405
meri	 402
_man	 401
gat	 398
_B	 395
av	 391
gat_	 390
ot	 388
ba	 387
ip	 384
ini	 384
os	 381
ntr	 381
bs	 381
aim	 378
R	 375
kp	 374
ou	 373
&	 369
()	 367
_st	 367
_()	 366
nb	 365
_ga	 363
&n	 361
tri	 359
p;	 358
bsp	 358
:_	 358
nbsp	 357
ls	 357
nbsp;	 357
&nbsp	 357
&nb	 357
nbs	 357
_G	 357
&nbs	 357
bsp;	 357
sp;	 357
K	 355
ur	 354
()_	 353
_()_	 352
_E	 345
ce	 344
tok	 341
ok_	 341
al_	 339
ig	 338
pr	 333
ting	 331
vi	 327
_R	 326
ist	 326
ait	 324
nm	 323
tai	 322
hi	 321
ati	 315
po	 315
_di	 312
ent	 310
spe	 308
_K	 308
nme	 306
eri_	 305
C	 303
aim_	 301
Lo	 301
_co	 299
_tok	 299
_Lo	 299
mb	 299
ov	 299
_in_	 297
tion	 295
tio	 295
meri_	 295
ik_	 294
pu	 293
H	 288
op	 288
ain_	 287
_ha	 286
re_	 286
ntri	 285
taim	 285
anm	 284
_la	 284
ve_	 283
anme	 282
nmeri	 282
anmer	 282
nmer	 282
yi	 281
we	 281
_tu	 279
les	 279
er_	 279
ep	 278
ca	 278
D	 278
da	 278
gi	 276
Lon	 276
_yia	 274
_o_	 274
yia	 274
nc	 274
be	 274
_Lon	 274
_yi	 274
ie	 274
ple	 273
antr	 272
bl	 272
