_	 3688919
a	 1503551
n	 975770
n_	 577338
a_	 534883
h	 532023
ha	 468896
_h	 464638
i	 453477
_ha	 452112
o	 419879
an	 404718
an_	 348052
s	 331324
u	 262853
g	 242459
han	 234705
d	 233961
han_	 232589
_han	 230611
_han_	 230461
ha_	 222792
_ha_	 220776
m	 204250
t	 204010
o_	 195108
e	 195065
r	 182483
l	 179344
_n	 163338
k	 150382
ga	 149931
ng	 136159
in	 134758
.	 127630
ka	 126341
A	 124894
._	 123694
_a	 122085
_A	 121417
am	 109208
_k	 108903
An	 108645
_An	 108250
_.	 107060
us	 107006
_._	 106631
An_	 106587
_An_	 106523
_ka	 103627
sa	 102281
nga	 101332
_u	 101129
_us	 98586
d_	 98209
ka_	 96316
mo	 96068
na	 95619
p	 95056
_ng	 94393
_nga	 94330
mo_	 92925
_am	 91908
amo	 91874
amo_	 91250
_amo	 90881
_amo_	 90865
sa_	 90576
usa	 88837
usa_	 88440
_usa	 88252
_usa_	 88239
y	 87841
in_	 85458
_ka_	 84293
_i	 83844
as	 80779
_in	 77003
,	 74941
,_	 74852
al	 73511
_in_	 73036
ga_	 69207
b	 67429
_na	 67280
gan	 66401
od	 65442
gan_	 64469
is	 64099
_,	 64035
_,_	 64010
so	 62720
od_	 61423
nas	 60074
aso	 59400
sod	 59083
asod	 59033
_nas	 59032
la	 58765
naso	 58643
sod_	 58642
asod_	 58611
nasod	 58610
_naso	 58596
un	 57953
c	 55495
to	 55088
ad	 53520
on	 53152
da	 52609
ngan	 50671
ngan_	 49506
_ngan	 47639
ta	 46298
pa	 46046
nga_	 44976
ni	 44899
-	 44311
to_	 44265
_nga_	 43901
it	 42610
_m	 42592
li	 42124
e_	 41262
st	 40525
hi	 40513
ar	 40210
mu	 38417
ri	 36886
mun	 35761
w	 35537
M	 35293
dad	 34834
si	 34515
S	 34513
_d	 33877
_M	 32462
ip	 32341
ra	 32196
ad_	 31825
_S	 31395
dad_	 30311
di	 29934
id	 29862
on_	 29492
tr	 28793
en	 28189
aw	 28146
ay	 27897
nis	 27848
yo	 27820
re	 27706
s_	 27410
uni	 27391
isi	 27320
ali	 27280
muni	 27032
sip	 26714
ma	 26695
ida	 26685
_mu	 26662
nisi	 26603
ist	 26545
isip	 26531
unis	 26514
munis	 26481
unisi	 26474
nisip	 26470
_mun	 26459
_muni	 26455
at	 26063
_an	 25880
ito	 25777
ig	 25509
str	 25502
_an_	 25237
C	 25176
ag	 25064
B	 24919
idad	 24814
rit	 24789
P	 24741
idad_	 24598
nt	 24510
ipa	 24467
istr	 24458
tri	 24389
pal	 24334
ito_	 24228
rito	 24182
lid	 24140
pali	 24075
stri	 24040
lida	 23994
ipal	 23972
alid	 23948
alida	 23918
lidad	 23918
ipali	 23914
sipa	 23893
isipa	 23856
sipal	 23855
palid	 23835
istri	 23806
_di	 23739
dis	 23622
trit	 23580
strit	 23573
trito	 23563
rito_	 23550
er	 23535
Ã	 23488
dist	 23287
distr	 23223
g_	 22787
ala	 22581
_C	 21658
es	 21529
_B	 21259
_dis	 21127
_dist	 21059
_p	 20703
_P	 20559
y_	 20277
_b	 19807
ne	 19581
i_	 19106
N	 18781
or	 18173
il	 18164
bu	 18064
iy	 17406
ba	 17368
_N	 17311
do	 17295
nd	 17107
_c	 16929
co	 16685
L	 16684
l_	 16580
ro	 16448
yon	 16431
_l	 16197
law	 16192
le	 16024
de	 15951
ya	 15829
Sa	 15731
yon_	 15454
ung	 15309
om	 15211
G	 15155
ang	 15125
(	 15100
)	 15019
ap	 15007
_(	 14937
iga	 14805
gt	 14729
wi	 14709
_L	 14687
_Sa	 14550
v	 14420
Mg	 14257
Mga	 14255
Mga_	 14255
_Mg	 14246
_Mga_	 14244
_Mga	 14244
ay_	 14190
ur	 14159
igan	 14136
igan_	 14003
t_	 13970
pi	 13950
hiy	 13926
_la	 13911
_bu	 13910
_G	 13783
awi	 13698
gto	 13566
ne_	 13561
)_	 13544
alaw	 13511
T	 13499
ngt	 13471
wig	 13417
lawi	 13393
ngto	 13385
awig	 13381
wigan	 13371
wiga	 13371
awiga	 13371
alawi	 13370
lawig	 13356
ungt	 13222
ungto	 13214
lal	 13210
sy	 13208
bun	 13142
te	 13140
_r	 13124
eh	 13122
ti	 13092
do_	 13064
gto_	 13044
lala	 13032
ngto_	 13008
bung	 12993
ara	 12876
bungt	 12843
_bun	 12840
_bung	 12831
_t	 12828
hin	 12796
_re	 12736
ah	 12724
iyo	 12672
I	 12603
ehi	 12591
tu	 12589
hiyo	 12520
iyon	 12490
hiyon	 12476
ehiy	 12463
ehiyo	 12448
Na	 12350
iyon_	 12335
ado	 12311
reh	 12279
_co	 12256
ll	 12255
_lal	 12227
_lala	 12227
_Na	 12207
lalaw	 12199
rehi	 12181
_reh	 12157
rehiy	 12157
_rehi	 12153
_hi	 12114
sk	 12113
lo	 12063
ab	 11946
z	 11837
_pa	 11752
_s	 11691
_T	 11622
ado_	 11266
ns	 11252
