_	 194192
a	 61024
e	 48894
i	 44794
n	 36774
±	 35707
r	 35518
Ä	 34406
l	 30245
Ä±	 28457
t	 24219
Ã	 20479
s	 20266
d	 19123
m	 14868
y	 14438
k	 13701
±_	 12310
o	 12267
Ÿ	 12162
u	 10631
b	 10574
ar	 10214
.	 9995
q	 8676
._	 8452
e_	 8418
an	 8223
a_	 7999
er	 7979
Å	 7780
v	 7655
n_	 7568
Ğ	 7159
ÅŸ	 7085
Ã±	 7042
la	 6938
i_	 6875
r_	 6551
en	 6480
Ä±_	 6427
,	 6215
,_	 6200
_b	 6053
da	 5932
in	 5919
¼	 5896
Ã±_	 5862
le	 5766
nÄ	 5710
nd	 5630
Ã¼	 5595
z	 5438
de	 5403
nÄ±	 5322
al	 5213
p	 5199
_s	 5094
ÄŸ	 5024
ta	 5007
et	 4798
±n	 4655
ir	 4641
Ä±n	 4634
ni	 4358
ti	 4351
ra	 4348
ri	 4298
_a	 4249
c	 4242
lar	 4203
-	 4139
si	 4092
g	 4073
il	 4015
_k	 4000
ne	 3994
h	 3962
iy	 3918
)	 3912
(	 3909
_e	 3877
li	 3845
rÄ	 3823
_t	 3792
Ÿa	 3768
_(	 3642
bi	 3599
es	 3594
§	 3573
ya	 3557
lÄ	 3551
rÄ±	 3476
Ã§	 3461
as	 3449
_d	 3446
ki	 3399
ay	 3398
sÄ	 3385
sÄ±	 3384
at	 3358
an_	 3290
)_	 3283
±r	 3281
ma	 3266
±Ã	 3266
Ä±Ã	 3264
me	 3207
Ä±Ã±	 3205
±Ã±	 3205
_y	 3166
nÄ±Ã	 3125
nÄ±Ã±	 3123
_n	 3102
Ä±r	 3092
Ä±Ã±_	 3078
±Ã±_	 3078
_m	 3072
ler	 3018
da_	 2991
ÄŸa	 2980
_-	 2954
di	 2949
f	 2946
iÃ	 2917
se	 2837
_q	 2833
ke	 2832
_Ã	 2799
_o	 2779
-_	 2775
ba	 2768
€	 2736
te	 2703
_v	 2689
ye	 2652
de_	 2624
ve	 2623
lÄ±	 2618
_i	 2613
y_	 2565
_-_	 2558
qa	 2550
nda	 2502
en_	 2486
:	 2460
_bi	 2456
¶	 2424
sa	 2418
dÄ	 2385
dÄ±	 2379
ol	 2360
_Å	 2351
iÃ±	 2338
Ã¶	 2307
ar_	 2302
