_	 25390
a	 8610
e	 6946
n	 5425
i	 5220
o	 5113
e_	 2976
l	 2922
u	 2823
d	 2449
…	 2332
r	 2255
m	 2133
aa	 1885
t	 1837
k	 1753
o_	 1695
i_	 1582
w	 1296
ó	 1229
…ó	 1227
g	 1195
a_	 1165
y	 1132
ì	 1118
…ì	 1099
an	 1089
de	 1040
nd	 983
_n	 981
s	 978
,	 945
,_	 904
h	 855
_k	 807
al	 796
on	 788
_e	 786
j	 771
.	 771
ee	 759
_…	 735
in	 733
f	 725
oo	 723
n_	 715
._	 709
…ìe	 708
ìe	 708
di	 678
_e_	 670
la	 654
de_	 654
_m	 651
ko	 644
ii	 644
_h	 640
b	 636
en	 611
ma	 606
_l	 590
na	 586
ar	 549
_w	 543
no	 537
p	 537
ta	 529
am	 527
nde	 524
re	 519
l_	 514
ng	 498
…ìe_	 488
ìe_	 488
nn	 484
er	 460
u_	 452
_ko	 452
le	 435
ko_	 433
ka	 427
_f	 423
Ÿ	 413
)	 381
ti	 380
(	 374
_…ó	 370
ra	 370
ri	 370
_t	 367
_(	 366
_…ì	 364
óe	 352
aa_	 352
…óe	 352
ol	 344
_ko_	 341
uu	 340
go	 338
ni	 335
laa	 332
di_	 328
_ma	 327
al_	 323
nde_	 323
ya	 322
_j	 322
wo	 321
wa	 320
no_	 320
ga	 318
ir	 315
aw	 314
un	 312
_s	 312
nnd	 312
li	 311
te	 306
or	 301
_nd	 298
ul	 295
ur	 289
_d	 289
en_	 288
c	 286
-	 284
a…	 283
aan	 282
)_	 279
ha	 274
_ka	 270
re_	 270
da	 270
_a	 270
um	 269
ii_	 268
K	 267
it	 265
ey	 265
ndi	 263
ll	 261
ak	 259
…óo	 256
óo	 256
_o	 249
_K	 249
_la	 246
A	 245
at	 244
ÿ	 243
ad	 242
ay	 240
ne	 237
maa	 236
_…ìe	 236
_ha	 235
du	 235
aam	 234
naa	 232
F	 232
_le	 232
_wo	 230
m_	 229
ói	 224
…ói	 224
_F	 222
_ng	 220
_y	 220
to	 214
mu	 213
ann	 213
_-	 209
‚	 209
-_	 209
Ä	 208
‚Ä	 208
_-_	 207
on_	 207
…óe_	 205
óe_	 205
M	 204
gal	 203
ji	 199
e,	 197
_A	 196
sa	 195
e,_	 195
si	 193
_laa	 191
_wa	 191
u…	 191
_nde	 190
i…	 189
_no	 187
o…	 187
S	 186
:	 184
jo	 182
_g	 178
e…	 177
N	 177
el	 177
ley	 176
ara	 175
ba	 175
_M	 173
mo	 173
im	 172
wi	 172
me	 172
gu	 170
hi	 170
ew	 170
gol	 169
taa	 168
yd	 168
he	 167
ri_	 166
kk	 164
Ko	 164
aar	 164
:_	 164
_ley	 164
…óu	 162
óu	 162
nga	 161
r_	 161
ol_	 160
ja	 160
gal_	 160
_S	 160
∆	 159
annd	 159
nk	 159
T	 156
um_	 155
_Ko	 154
won	 152
ere	 151
eyd	 151
mb	 150
tu	 149
_won	 149
fu	 148
ag	 148
mm	 148
noo	 147
ydi	 146
ke	 146
…óo_	 146
óo_	 146
eydi	 145
Fu	 145
nnde	 144
la_	 144
laam	 143
a…ì	 142
_p	 142
il	 142
fi	 141
_Fu	 141
_.	 141
a…ó	 141
√	 141
ina	 140
ki	 139
_._	 139
lo	 139
_ta	 139
_T	 138
ge	 138
nt	 138
ni_	 137
ab	 137
em	 137
ku	 136
ud	 136
mi	 135
_he	 135
ana	 135
_laam	 134
iy	 133
gol_	 133
na_	 133
_N	 133
L	 132
et	 132
oo_	 131
leyd	 131
leydi	 131
ot	 130
_maa	 130
ngal	 130
ed	 129
eydi_	 128
ee_	 128
ho	 128
ydi_	 128
_no_	 128
se	 127
gi	 127
ow	 126
G	 125
je	 124
ro	 122
u…ó	 122
_,	 122
ka_	 122
_hi	 122
ny	 122
_,_	 121
oor	 121
oo…	 120
_leyd	 120
_L	 120
bi	 120
J	 119
fe	 119
ji_	 119
_…óu	 119
fo	 118
nnde_	 117
aa…	 117
ngu	 117
and	 117
_on	 117
_i	 116
…óa	 114
óa	 114
e.	 113
ik	 113
aak	 113
H	 112
akk	 112
e._	 112
_J	 112
ama	 111
ngal_	 111
E	 111
is	 111
Ma	 111
¥	 111
o…ì	 111
ita	 110
le_	 109
eer	 109
_na	 109
∆¥	 109
Al	 108
es	 108
adi	 108
_b	 108
_ho	 107
_G	 107
ì…	 107
B	 106
i…ó	 106
s_	 106
ru	 106
fa	 106
yaa	 105
ì…ì	 105
…ì…	 105
…ì…ì	 105
ank	 102
ta_	 102
amu	 102
ngo	 102
P	 102
tee	 101
_fo	 101
_Ma	 100
óum	 100
…óum	 100
_ja	 100
ino	 100
ti_	 100
_…óe	 100
rt	 99
aand	 98
aamu	 98
o…ìe	 98
a,	 98
_H	 98
_Al	 98
as	 98
oo…ì	 97
mu_	 97
i,	 97
oo…ìe	 97
_B	 97
ere_	 97
_jo	 97
i,_	 96
iya	 96
a,_	 96
rn	 96
ore	 96
yo	 96
iri	 96
