_	 4278097
a	 1803349
n	 1118773
i	 929836
e	 597745
g	 526015
u	 523567
s	 504008
r	 494287
t	 463734
an	 438989
k	 415535
ng	 380168
l	 368168
a_	 304758
o	 304061
m	 275785
d	 267197
n_	 256361
in	 241172
h	 236000
g_	 226279
ng_	 223387
p	 221905
b	 207175
√	 185083
w	 179545
sa	 179387
,	 177246
,_	 175458
i_	 174506
.	 167292
an_	 163836
ra	 158343
ka	 151242
ing	 149023
_s	 143600
la	 140702
._	 139955
ar	 139681
_i	 135215
ing_	 132535
ta	 130799
j	 130634
at	 129439
©	 128575
√©	 128184
en	 125265
al	 123757
_k	 123097
ang	 110533
:	 108295
si	 106432
-	 105464
un	 102030
y	 98490
ga	 98190
ik	 97158
_,	 96189
_,_	 95936
_d	 93315
na	 89670
ba	 88911
P	 87770
S	 86897
_p	 86565
ak	 84201
K	 83811
:_	 83594
ah	 82887
_K	 78138
_sa	 77029
c	 76276
ni	 75930
_P	 75425
ma	 73840
wa	 72974
pa	 72816
_.	 71622
er	 71483
h_	 71026
D	 69836
ku	 69498
_in	 69110
s_	 68469
_S	 68413
on	 67587
ha	 67035
as	 66733
am	 65008
_ka	 64778
es	 64754
_._	 63913
_ing	 63404
te	 63248
u_	 62102
_D	 60976
di	 60631
ya	 60492
ab	 60179
li	 59411
aw	 59171
_m	 58197
_ing_	 57618
_ik	 57614
_l	 57234
nt	 56936
_t	 56317
_a	 55837
_n	 55745
it	 54838
©_	 54788
√©_	 54633
r_	 54550
(	 54286
)	 54240
ur	 54137
ala	 53985
is	 53767
-_	 52317
wi	 52126
ro	 51688
®	 51534
ran	 51206
√®	 50849
B	 50337
ara	 50213
lan	 49045
e_	 48700
_j	 47962
nd	 47672
ri	 47647
el	 47449
_(	 46955
tu	 46830
sa_	 46624
_w	 46366
_b	 46200
kan	 46032
_-	 45974
us	 45268
ah_	 45209
f	 45102
ti	 45093
bu	 45046
ki	 44604
ata	 44201
re	 44154
da	 44045
_B	 43927
em	 43383
ji	 43206
t_	 42561
ang_	 42425
mb	 42356
ana	 42289
ja	 42282
eng	 40739
ut	 40731
mi	 40465
Ka	 39699
_la	 39355
dh	 39173
ung	 39173
_Ka	 38952
ad	 38880
nin	 38432
)_	 38116
_u	 38043
ning	 37952
th	 37950
ku_	 37626
_-_	 37597
iku	 37344
ra_	 37197
tan	 37038
ning_	 36995
A	 36720
nga	 36470
_si	 36420
v	 36227
or	 36122
lan_	 36103
l_	 35748
le	 35655
_di	 35608
M	 35586
pu	 35409
du	 34121
_lan	 33964
ge	 33870
iku_	 33752
si_	 33625
ne	 33467
ia	 33452
k_	 33323
il	 33055
Pr	 32828
_Pr	 32563
pe	 32290
_lan_	 32135
ij	 31830
ca	 31801
gg	 31760
ngg	 31355
lu	 31265
ke	 31195
o_	 31185
T	 30948
_M	 30895
iki	 30600
_iku	 30449
ul	 30297
_iku_	 29815
up	 29810
I	 29773
hi	 29469
gan	 29196
ka_	 29184
ini	 29080
iji	 29043
_A	 28979
en_	 28961
se	 28883
uk	 28773
ki_	 28526
ns	 28514
©s	 28148
√©s	 28148
√®n	 27981
®n	 27981
ed	 27673
ga_	 27593
me	 27590
ama	 27379
awi	 27215
iki_	 27203
ant	 27002
aka	 26934
st	 26891
_iki	 26842
R	 26840
_T	 26625
ir	 26422
aba	 26346
han	 26215
_r	 26147
De	 26145
san	 25964
_:	 25905
√©sa	 25904
©sa	 25904
nal	 25800
ali	 25772
_kan	 25697
ara_	 25681
_pa	 25542
n√	 25502
jin	 25481
ru	 25448
_ba	 25448
_iki_	 25398
/	 25392
Si	 25322
awa	 25136
us_	 24999
m_	 24964
_Si	 24802
Pra	 24758
_Pra	 24661
jini	 24458
ijin	 24438
_De	 24321
ap	 24278
um	 24268
la_	 24232
aha	 24206
inin	 24061
ining	 24041
upa	 24012
jinin	 23800
pat	 23799
ijini	 23790
de	 23667
gi	 23657
lah	 23492
ay	 23482
et	 23425
ug	 23414
ngan	 23374
pr	 23356
_R	 23319
itu	 23279
saw	 23189
gk	 23042
ngk	 22986
ung_	 22930
nu	 22912
_saw	 22723
sin	 22712
abu	 22599
mba	 22529
n√©	 22432
ip	 22374
_pe	 22356
uw	 22317
tan_	 22304
sal	 22245
--	 22138
d√	 22114
bar	 22098
vi	 22046
_I	 21979
Ke	 21938
lo	 21797
ura	 21785
J	 21720
lah_	 21714
nsi	 21614
_:_	 21521
he	 21510
W	 21456
sawi	 21411
_sawi	 21340
ov	 21315
wij	 21275
ala_	 21217
nan	 21179
be	 21107
Ba	 21082
ta_	 21078
wiji	 20945
d√©	 20935
awij	 20877
awiji	 20722
®n_	 20702
√®n_	 20702
emb	 20680
wijin	 20651
ba_	 20573
_J	 20494
sawij	 20478
tus	 20387
un_	 20370
asa	 20342
pun	 20314
sing	 20271
t√	 20250
rah	 20235
kang	 20221
ai	 20213
ag	 20200
upat	 20180
ny	 20170
_ja	 20146
nsi_	 20133
k√	 20111
alah	 20062
we	 20052
_sin	 20051
√©sa_	 20039
©sa_	 20039
rana	 19884
jab	 19850
C	 19822
jaba	 19761
bup	 19744
bupat	 19740
bupa	 19740
sing_	 19737
han_	 19727
abup	 19713
abupa	 19712
_sal	 19646
Pran	 19638
aba_	 19622
_Pran	 19605
angg	 19601
tar	 19574
uga	 19565
tus_	 19539
alah_	 19492
anal	 19473
om	 19431
_pr	 19418
esa	 19401
_ng	 19394
man	 19389
_W	 19378
nala	 19332
_sing	 19324
sala	 19317
ahan	 19295
wa_	 19289
_Ba	 19287
_an	 19285
L	 19230
_Ke	 19220
_ug	 19219
anala	 19216
