_	 653799
a	 412710
i	 128638
o	 101644
d	 93156
a_	 86283
e	 83403
n	 75652
u	 71826
aa	 68541
y	 66594
l	 61344
h	 57305
s	 54760
r	 53564
k	 52374
Ù	 46365
Ø	 40966
m	 39421
b	 36708
g	 36408
ad	 36020
da	 34949
an	 33517
o_	 32639
ay	 32246
w	 31163
ka	 30442
t	 29599
oo	 28891
ha	 27817
x	 27007
n_	 26019
ee	 24270
al	 23715
la	 23702
_a	 23520
u_	 23348
ar	 22607
ii	 22605
ma	 22552
_k	 22487
_w	 22418
wa	 21844
_d	 21272
y_	 20595
_wa	 18723
ah	 18491
ka_	 18383
ga	 18313
i_	 17298
ay_	 17059
ada	 16602
in	 16231
ax	 16156
c	 16051
_i	 16043
.	 15912
na	 15825
ya	 15542
_s	 15384
,	 15256
aa_	 15054
an_	 14702
ta	 14582
ba	 14567
e_	 14470
uu	 14345
q	 14105
,_	 14102
_m	 13845
iy	 13813
sa	 13616
oo_	 13544
xa	 13214
ra	 12990
da_	 12796
aan	 12721
_l	 12235
d_	 12173
._	 12093
_ka	 12016
ab	 11750
dh	 11642
as	 11578
aha	 11455
_Ø	 11118
_u	 10588
ag	 10552
axa	 10361
is	 10303
§	 10289
Ø§	 10278
am	 10096
f	 10049
ey	 9985
di	 9870
id	 9814
wax	 9796
ku	 9658
„	 9541
Ù„	 9523
_wax	 9373
_b	 9358
_o	 9203
yo	 9135
_ma	 8973
_dh	 8607
li	 8568
_h	 8544
ii_	 8360
_la	 8275
aal	 8245
yo_	 8217
si	 8169
hi	 8040
sh	 8038
ir	 7782
j	 7768
_oo	 7653
_ah	 7512
ada_	 7504
_ku	 7426
_oo_	 7403
A	 7324
ri	 7193
waxa	 7027
ca	 6919
iyo	 6906
uu_	 6873
ala	 6857
-	 6760
aan_	 6712
_waxa	 6637
ku_	 6635
iyo_	 6588
_g	 6556
aad	 6542
_da	 6517
qa	 6389
r_	 6386
S	 6382
_t	 6299
ig	 6262
_Ù	 6260
ana	 6228
aga	 6160
_iy	 6144
in_	 6100
Ø§Ù	 6084
§Ù	 6084
na_	 6058
ga_	 6044
so	 5941
M	 5927
waa	 5853
_q	 5832
_ka_	 5799
nt	 5792
le	 5759
gu	 5756
ed	 5745
or	 5644
_iyo	 5636
he	 5624
_c	 5620
gaa	 5615
_iyo_	 5612
il	 5550
ac	 5513
dha	 5510
xaa	 5510
nk	 5477
_ku_	 5458
ara	 5440
_S	 5438
ki	 5435
mi	 5371
h_	 5364
D	 5360
yaa	 5350
_ba	 5348
ee_	 5291
_x	 5256
aas	 5188
_e	 5185
iya	 5158
ali	 5143
„Ù	 5133
Ù„Ù	 5133
do	 5125
_M	 5116
_ay	 5109
la_	 5106
maa	 5074
lo	 5070
Š	 5049
er	 5048
…	 5040
Ù…	 5021
bi	 5020
ÙŠ	 4996
l_	 4996
re	 4983
ha_	 4867
hay	 4847
axaa	 4840
lk	 4783
en	 4772
rk	 4765
ti	 4760
ur	 4756
laa	 4732
_waa	 4681
_in	 4654
ama	 4568
ad_	 4554
ho	 4550
s_	 4512
kii	 4471
dan	 4466
_n	 4459
aq	 4446
§Ù„	 4437
Ø§Ù„	 4437
de	 4424
aba	 4424
_j	 4422
_ha	 4404
_D	 4388
dii	 4381
ta_	 4375
_y	 4371
haa	 4347
aar	 4334
_ee	 4306
_dha	 4297
nka	 4282
)	 4239
Ž	 4229
†	 4222
_so	 4216
aya	 4208
ÙŽ	 4207
(	 4193
Ù†	 4176
ul	 4169
ye	 4147
iis	 4133
soo	 4054
gu_	 4016
C	 4015
sha	 4005
_ee_	 4001
iga	 3959
_A	 3927
yn	 3870
el	 3859
ni	 3838
I	 3835
ˆ	 3823
W	 3792
lka	 3787
_si	 3786
±	 3780
ji	 3747
_u_	 3743
im	 3738
Ùˆ	 3736
mar	 3726
_(	 3718
Ø±	 3711
_sa	 3708
on	 3708
_Ø§	 3688
ol	 3662
_uu	 3661
du	 3654
eed	 3650
waxaa	 3634
un	 3633
san	 3629
bad	 3615
ug	 3608
dd	 3564
nta	 3553
ahay	 3547
ida	 3547
adi	 3544
ah_	 3544
me	 3542
daa	 3537
waa_	 3536
aha_	 3506
_Ø§Ù	 3488
rt	 3458
_W	 3451
yi	 3449
_waa_	 3436
Ma	 3413
adan	 3389
_C	 3386
dk	 3384
taa	 3343
_qa	 3333
_Ø§Ù„	 3322
_uu_	 3322
_-	 3314
Ù„Ø	 3312
„Ø	 3312
om	 3301
een	 3300
nka_	 3298
to	 3290
_Ma	 3270
_ga	 3266
_soo	 3246
qo	 3230
-_	 3212
ark	 3207
od	 3206
ank	 3201
_ta	 3187
at	 3184
:	 3179
no	 3167
_ah_	 3164
mad	 3164
_.	 3151
be	 3148
st	 3139
raa	 3115
ud	 3109
iin	 3109
xaa_	 3096
axaa_	 3087
_ca	 3083
B	 3079
eey	 3079
_aa	 3069
¨	 3067
_,	 3060
ahaa	 3058
Ø¨	 3051
xu	 3043
_aha	 3031
ys	 3007
ey_	 2950
lad	 2950
kii_	 2926
isa	 2918
_ay_	 2909
a,	 2906
hay_	 2903
bo	 2897
)_	 2894
eg	 2874
fa	 2867
kal	 2850
ro	 2848
dhi	 2847
hii	 2843
_is	 2834
af	 2827
soo_	 2826
a.	 2823
_mar	 2819
ne	 2814
_la_	 2807
H	 2801
go	 2796
us	 2790
:_	 2785
_,_	 2781
_f	 2777
hee	 2768
ari	 2762
lka_	 2756
int	 2754
aca	 2752
ib	 2749
aw	 2739
Wa	 2736
‡	 2721
rka	 2717
ob	 2715
Ù‡	 2712
had	 2712
_kal	 2710
_-_	 2706
iga_	 2698
ma_	 2690
ash	 2674
naa	 2674
aab	 2671
G	 2666
a,_	 2656
add	 2653
¹	 2646
ed_	 2640
