_	 40000
a	 15878
h	 9874
a_	 8782
i	 7723
n	 7061
u	 5888
o	 4910
e	 4535
ha	 3997
v	 3634
d	 3631
s	 3457
l	 3418
i_	 3356
t	 3177
vh	 3125
m	 3056
w	 2835
_v	 2330
_vh	 2271
_n	 2230
o_	 2212
z	 2129
ha_	 2095
an	 1922
k	 1841
u_	 1783
na	 1776
vha	 1772
hu	 1717
sh	 1705
ho	 1687
wa	 1629
_t	 1589
hi	 1559
g	 1547
e_	 1519
_vha	 1438
_m	 1396
na_	 1377
b	 1370
ts	 1356
nd	 1337
r	 1269
la	 1268
dz	 1239
ng	 1204
tsh	 1177
.	 1171
vha_	 1077
y	 1074
f	 1068
_h	 1049
_d	 1049
shi	 1021
_ts	 1008
._	 985
_u	 948
wa_	 943
di	 919
_tsh	 915
_k	 876
mb	 874
_vha_	 872
ga	 870
in	 856
_a	 841
la_	 839
th	 837
ne	 831
mu	 812
tshi	 795
he	 791
kh	 780
_na	 771
nga	 761
ma	 760
el	 745
da	 712
al	 711
ho_	 702
_mu	 698
en	 691
_tshi	 689
si	 687
_l	 686
zw	 681
_na_	 680
ana	 659
p	 658
,	 656
_u_	 643
ga_	 642
ya	 642
ul	 628
di_	 626
_dz	 603
_kh	 601
_ng	 597
ni	 587
nga_	 583
on	 581
fh	 577
,_	 576
un	 571
hu_	 571
ne_	 569
_i	 562
wi	 560
hi_	 557
_y	 557
vhu	 548
_nd	 537
ka	 534
ndi	 522
li	 518
zi	 516
am	 512
_z	 508
_zw	 501
ya_	 498
_s	 495
vho	 494
_w	 490
_nga	 480
nda	 479
ri	 477
_a_	 467
kha	 462
V	 458
le	 456
dzi	 455
us	 454
_ndi	 452
da_	 450
M	 446
ah	 444
ana_	 444
sa	 435
_ha	 435
ndi_	 432
han	 430
at	 428
ur	 428
_ya	 425
_nga_	 425
za	 422
_V	 420
we	 413
_wa	 412
lo	 409
av	 407
_ma	 402
Vh	 401
_ndi_	 399
zwi	 397
_vhu	 393
dza	 388
ba	 387
lu	 382
_M	 380
_ya_	 379
_Vh	 376
_kha	 370
T	 368
sha	 363
shi_	 362
amb	 361
tshi_	 359
il	 356
_f	 350
nw	 349
_vho	 346
_hu	 341
ut	 340
ni_	 339
um	 339
nda_	 339
a.	 334
_zwi	 333
ela	 332
ri_	 329
mba	 329
it	 326
no	 321
kha_	 321
thu	 320
_T	 315
ik	 315
-	 314
is	 312
si_	 311
N	 309
wan	 307
end	 307
ala	 304
ad	 301
_kha_	 299
ak	 299
lw	 298
_ha_	 294
ed	 293
a._	 292
aho	 289
do	 288
iv	 285
avh	 284
za_	 284
go	 283
bo	 281
ula	 278
we_	 278
dza_	 277
Vha	 275
ve	 273
ta	 271
sa_	 270
uri	 266
Ts	 266
om	 263
edz	 263
zi_	 262
vho_	 261
_Vha	 259
mi	 256
hon	 255
ra	 255
_N	 253
ela_	 251
Tsh	 250
no_	 248
te	 247
im	 247
dzi_	 246
ar	 244
thu_	 244
lwa	 243
as	 238
and	 237
hat	 236
_Ts	 235
_wa_	 233
enda	 232
_fh	 231
ang	 229
de	 228
ele	 227
ol	 226
zh	 224
ane	 222
be	 222
_Tsh	 222
_th	 221
wi_	 221
fha	 217
id	 217
amba	 216
_p	 215
_dzi	 215
Tshi	 214
_.	 213
uri_	 213
uk	 213
ngo	 212
ud	 212
wana	 210
hav	 209
mbo	 209
aho_	 207
_hu_	 207
ani	 207
li_	 205
tsha	 205
he_	 204
one	 204
hin	 203
ala_	 199
wo	 199
vhan	 197
mus	 197
pf	 196
zwa	 196
ph	 195
nwe	 194
hul	 193
kho	 191
_Tshi	 190
lo_	 190
ivh	 190
_la	 190
nz	 189
vhe	 187
ma_	 187
_vho_	 186
yo	 186
ath	 185
uv	 184
usi	 184
mut	 183
_._	 182
kan	 181
Mu	 181
ot	 181
á	 180
enda_	 180
_ho	 179
i.	 179
_lu	 178
fu	 177
bo_	 176
ko	 176
_ur	 172
_dza	 172
zwi_	 171
nwe_	 171
_li	 171
hun	 171
_uri	 170
ven	 170
ou	 169
_uri_	 168
one_	 168
_kho	 167
_mi	 166
Ma	 166
i._	 166
o.	 165
_mut	 164
to	 163
_Mu	 162
anda	 162
a,	 162
aka	 162
uvh	 161
_di	 161
le_	 161
venda	 161
vend	 161
A	 161
_la_	 160
_b	 160
iw	 160
ka_	 159
mbe	 159
ba_	 159
_mus	 158
ku	 158
_r	 158
du	 157
re	 157
_vhan	 156
_do	 155
_dza_	 153
iwa	 152
hel	 152
umb	 152
_i_	 151
sha_	 151
ou_	 150
zwa_	 149
_wan	 149
hal	 148
sw	 148
bi	 148
hath	 147
mba_	 147
vhat	 147
nwa	 146
olo	 145
o._	 145
ine	 145
lwa_	 145
_wana	 144
_Ma	 143
_vhat	 142
hone	 142
mbo_	 141
idz	 141
a,_	 141
)	 141
(	 141
adz	 140
_ka	 140
athu	 139
_,	 138
ine_	 137
H	 137
D	 137
usi_	 136
S	 136
ip	 136
_tsha	 136
se	 135
bv	 134
wo_	 134
_o	 134
et	 134
the	 134
hen	 134
