_	 856384
a	 403828
n	 264644
i	 159823
o	 137611
s	 115285
g	 111524
an	 99529
n_	 94043
a_	 86814
e	 85767
r	 84159
t	 75494
l	 68107
k	 61801
an_	 52916
u	 52877
p	 50948
m	 49833
d	 49119
na	 48883
ng	 46666
in	 45434
_s	 45130
_n	 44384
b	 43113
y	 42739
sa	 42134
ka	 36793
g_	 36193
_sa	 35105
on	 34073
_na	 31822
_k	 31289
ga	 31089
ng_	 30974
o_	 29327
.	 28242
ar	 27870
_a	 26193
_ka	 25668
h	 25453
sa_	 25224
ag	 25078
._	 24284
_sa_	 24153
,	 23267
,_	 23116
as	 22766
na_	 22506
ta	 21604
ang	 21247
_p	 20516
_na_	 20515
si	 20124
ni	 19922
ra	 18793
kan	 18777
pa	 18739
al	 18576
e_	 18510
c	 18487
la	 18278
_m	 18045
S	 17993
A	 17927
kan_	 17640
_kan	 17260
w	 17046
ro	 17035
_kan_	 16979
in_	 16822
_S	 16560
_A	 16494
ba	 16241
at	 16230
ma	 16208
P	 15752
s_	 15476
M	 15377
ga_	 15139
_M	 14675
da	 14601
ay	 14344
ya	 14268
i_	 14053
ong	 13604
li	 13404
_P	 13382
en	 13226
er	 12763
_an	 12702
_i	 12498
on_	 12242
C	 12199
_pa	 12132
ong_	 12097
B	 11775
ang_	 11558
_an_	 11451
il	 11444
to	 11108
_C	 10992
ad	 10893
yo	 10825
ak	 10818
d_	 10743
ri	 10657
ab	 10490
_B	 10297
-	 10161
_ni	 10154
pi	 10056
or	 9884
sin	 9819
re	 9706
y_	 9706
_t	 9654
ti	 9608
l_	 9572
am	 9569
iy	 9421
t_	 9289
wa	 9190
An	 9099
asi	 9066
I	 9050
_An	 8987
_.	 8942
is	 8898
es	 8885
_,	 8852
_,_	 8826
_._	 8736
nt	 8716
_as	 8561
(	 8547
)	 8473
it	 8446
ap	 8412
_(	 8408
asin	 8322
sin_	 8279
nga	 8193
asin_	 8193
_asi	 8122
ko	 8115
_asin	 8111
st	 8101
aro	 7974
ina	 7964
mg	 7919
mga	 7910
An_	 7897
mga_	 7876
_ma	 7848
_mg	 7847
_mga	 7846
_mga_	 7840
_An_	 7832
ara	 7830
un	 7830
nd	 7785
hi	 7774
te	 7728
nin	 7665
no	 7625
ol	 7543
ig	 7492
ha	 7427
_I	 7336
_b	 7255
N	 7245
ik	 7188
nag	 7027
sar	 7006
ron	 6995
Ma	 6989
io	 6941
)_	 6895
_d	 6866
_Ma	 6786
od	 6689
_nin	 6590
T	 6576
og	 6502
rong	 6487
_N	 6460
_sar	 6441
os	 6386
nin_	 6322
ne	 6317
ip	 6314
ay_	 6307
ul	 6307
_nin_	 6291
Sa	 6255
f	 6248
di	 6242
iya	 6241
rong_	 6220
aron	 6203
pin	 6178
saro	 6160
aw	 6144
_si	 6128
arong	 6126
de	 6124
lo	 6113
anga	 6111
D	 6084
_Sa	 6077
_saro	 6023
_T	 5946
L	 5866
ata	 5840
us	 5834
ob	 5749
aba	 5723
ai	 5684
saron	 5683
ur	 5632
se	 5627
Ã	 5623
ran	 5599
r_	 5578
ya_	 5513
_D	 5494
_ta	 5492
aga	 5472
_nag	 5453
go	 5392
po	 5383
ing	 5370
_L	 5342
pan	 5295
yo_	 5294
bo	 5207
ban	 5131
ni_	 5065
br	 5041
su	 5034
ns	 5033
ah	 5008
man	 5001
ili	 4954
mb	 4944
gan	 4938
K	 4916
as_	 4887
Ba	 4883
ic	 4882
le	 4859
om	 4822
Mga	 4807
Mga_	 4807
Mg	 4807
_Mga_	 4790
_Mg	 4790
_Mga	 4790
ini	 4784
mi	 4783
bi	 4768
do	 4763
sy	 4728
ion	 4702
so	 4660
al_	 4658
ib	 4651
ala	 4639
_Ba	 4636
_K	 4631
H	 4609
ia	 4591
ao	 4580
ot	 4541
od_	 4522
ci	 4520
ana	 4475
lan	 4421
lu	 4390
G	 4350
yan	 4304
Ca	 4284
_H	 4272
aa	 4220
gi	 4198
tu	 4193
_o	 4189
el	 4167
pag	 4130
v	 4091
_ba	 4091
_Ca	 4084
ika	 4064
Pa	 4040
nda	 4020
ac	 3997
em	 3991
_G	 3979
id	 3971
_Pa	 3917
E	 3899
ro_	 3889
R	 3875
yon	 3839
_pan	 3837
lip	 3792
tan	 3733
_l	 3724
mo	 3712
_in	 3686
_h	 3672
im	 3619
iya_	 3608
ent	 3605
-_	 3598
ing_	 3593
_pag	 3577
ati	 3565
San	 3563
nan	 3548
Na	 3521
Po	 3518
aka	 3518
ilip	 3516
aran	 3507
_pi	 3501
ir	 3501
ku	 3495
_San	 3472
ion_	 3469
ine	 3463
_Na	 3443
to_	 3437
ada	 3414
and	 3406
_R	 3406
rang	 3405
gu	 3404
rt	 3394
_E	 3391
O	 3360
me	 3338
gay	 3304
ero	 3267
bre	 3248
hil	 3203
uw	 3183
ako	 3178
ok	 3175
tr	 3161
ali	 3145
aya	 3132
bu	 3132
gk	 3116
re_	 3096
gd	 3094
_g	 3084
ne_	 3077
te_	 3066
k_	 3062
wan	 3049
ant	 3041
ki	 3040
gan_	 3039
ta_	 3017
og_	 3006
ca	 2990
Si	 2980
ist	 2972
uwa	 2959
In	 2947
hili	 2935
:	 2929
Co	 2909
_Si	 2909
pp	 2886
_Co	 2867
kat	 2867
F	 2862
han	 2861
gr	 2858
pina	 2858
aha	 2848
_In	 2836
Ph	 2827
_O	 2827
_Ph	 2808
ye	 2804
apa	 2797
bang	 2795
ama	 2784
Ka	 2761
ub	 2756
_)	 2747
Pob	 2737
dan	 2729
Phi	 2712
pr	 2712
