_	 2348080
a	 912405
n	 467756
a_	 419654
s	 373123
i	 318737
sa	 287186
o	 286652
sa_	 275399
g	 273642
_s	 246518
u	 244239
_sa	 235242
_sa_	 232937
e	 221367
m	 212989
t	 201977
g_	 176631
y	 164571
ng	 158908
r	 155930
l	 134562
p	 125090
ng_	 124271
k	 123885
an	 121348
h	 112570
.	 100651
ka	 99959
_m	 99338
o_	 97994
_k	 97563
._	 97184
ta	 93338
d	 91310
_u	 89969
_ka	 89698
hi	 86100
_.	 84341
yo	 84203
_._	 83917
ka_	 82889
_ka_	 82168
n_	 81557
in	 75851
on	 73984
_n	 72688
ang	 72471
-	 67927
na	 64843
ang_	 63945
ma	 61461
A	 61185
ay	 56909
pa	 56118
y_	 55455
_A	 54911
ar	 54000
ni	 53726
nt	 52543
on_	 51243
en	 50358
i_	 49566
to	 49461
us	 49068
ug	 48999
ga	 48639
_ma	 48337
ay_	 48197
re	 48135
_na	 47440
am	 47192
An	 46913
_An	 46494
Ang	 45812
_Ang	 45646
Ang_	 45633
_Ang_	 45504
iy	 45468
ah	 45258
_d	 44788
de	 44364
ug_	 44214
_ug	 44175
_ug_	 44089
yon	 43310
usa	 43258
K	 42783
ol	 42514
_us	 42460
_usa	 42427
im	 42390
_K	 42320
ini	 42236
ni_	 42109
tan	 42040
rt	 41973
mo	 41877
to_	 41522
yon_	 41233
usa_	 41221
b	 41097
me	 41051
_usa_	 41003
ahi	 40888
ent	 40208
ut	 40167
ini_	 40028
lu	 39957
may	 39346
nah	 39139
mu	 39075
may_	 39046
_may	 38963
_r	 38941
yo_	 38926
_may_	 38861
art	 38746
him	 38521
ep	 38512
Ki	 38507
nto	 38501
up	 38493
tang	 38484
_Ki	 38452
_re	 38367
_de	 38278
men	 38267
Kin	 38187
_nah	 38183
_Kin	 38142
iyo	 38117
ahim	 38113
par	 38100
eh	 38003
_mo	 37921
tang_	 37911
uta	 37882
Kini	 37878
_Kini	 37867
ment	 37845
hiy	 37814
iyon	 37768
nahi	 37734
_nahi	 37718
nto_	 37701
Kini_	 37696
hiyo	 37633
imu	 37614
ehi	 37610
utan	 37567
hiyon	 37541
iyon_	 37540
ehiy	 37526
ehiyo	 37521
reh	 37498
part	 37482
ento	 37473
nahim	 37431
rehi	 37417
utang	 37401
_reh	 37400
_rehi	 37394
rehiy	 37391
rta	 37389
ame	 37377
mento	 37348
ento_	 37328
himu	 37235
ahimu	 37227
mut	 37218
muta	 37197
tam	 37196
mutan	 37194
imut	 37180
himut	 37180
imuta	 37179
py	 37114
epa	 37102
dep	 37077
olu	 37077
lup	 37055
amen	 37042
mol	 37029
arta	 37008
ament	 37005
pyo	 37001
_dep	 36997
epar	 36996
epart	 36972
upy	 36947
_mol	 36947
lupy	 36946
lupyo	 36946
upyo	 36946
tame	 36945
pyo_	 36941
rtam	 36940
tamen	 36940
parta	 36938
artam	 36938
rtame	 36938
depa	 36933
depar	 36932
_depa	 36931
molu	 36899
upyo_	 36897
olup	 36897
olupy	 36895
molup	 36894
_molu	 36888
,	 33228
,_	 33092
-_	 32778
_-	 31781
_-_	 31454
ga_	 30957
la	 30906
nga	 23555
S	 23312
_a	 22630
c	 22204
e_	 21766
al	 21588
an_	 21173
s_	 20034
_S	 19897
ag	 19754
M	 19429
C	 19294
_,	 18977
_,_	 18942
_ng	 17895
il	 17774
_nga	 17493
as	 16836
w	 16424
P	 16215
B	 16040
_M	 15974
_p	 15688
ad	 15633
at	 15546
nga_	 15518
_nga_	 15103
er	 15094
li	 14761
ra	 14572
ba	 14401
ya	 14206
_an	 13810
is	 13604
es	 13560
_P	 12811
_ang	 12674
_ang_	 12573
ha	 12415
_C	 12357
_B	 12205
si	 12167
(	 12106
)	 12079
_(	 11981
le	 11641
d_	 11362
Sa	 11278
t_	 11210
ong	 11209
Ã	 10989
L	 10894
un	 10691
su	 10687
aw	 10673
ab	 10668
)_	 10439
ti	 10365
ul	 10341
ai	 10266
it	 10232
_Sa	 10169
_g	 9858
_t	 9769
or	 9765
mg	 9594
da	 9540
mga	 9532
mga_	 9521
_mg	 9506
_mga	 9499
_mga_	 9495
_pa	 9350
gi	 9265
ne	 9257
lo	 9128
l_	 8874
te	 8812
ong_	 8719
_L	 8682
v	 8494
_i	 8474
ur	 8428
T	 8348
ll	 8271
ala	 8255
ig	 8229
ri	 8192
ak	 8082
pi	 8037
st	 7992
tu	 7974
