_	 72058825
e	 25072597
r	 14038934
n	 13608790
t	 12803712
a	 10502420
s	 10488761
i	 10217779
o	 8737386
l	 8586722
d	 6566998
g	 5814895
k	 5545745
er	 5386185
m	 5122117
e_	 5037225
en	 4875779
r_	 4176896
v	 3723048
n_	 3648492
t_	 3634811
√	 3441698
p	 3113815
f	 3106848
u	 2995842
te	 2868706
de	 2853927
_s	 2780702
.	 2673363
et	 2640304
er_	 2623631
b	 2530346
en_	 2447511
._	 2436213
h	 2358921
re	 2300657
an	 2235956
,	 2125959
,_	 2118075
_o	 2058965
g_	 2006742
_e	 1999402
ne	 1985038
le	 1967944
st	 1967260
_f	 1910421
_i	 1896122
or	 1860691
in	 1716682
•	 1716482
√•	 1713869
et_	 1639539
i_	 1637810
_d	 1572205
_a	 1560829
ar	 1500896
me	 1490998
og	 1478302
el	 1432965
se	 1421213
ti	 1415951
_m	 1407321
om	 1404369
_b	 1382232
_i_	 1380756
y	 1371145
_t	 1332175
_og	 1320885
ge	 1308678
∏	 1256029
ke	 1255127
il	 1244043
√∏	 1241470
ng	 1241242
nd	 1240490
_h	 1230843
s_	 1207155
og_	 1200012
es	 1189725
li	 1185614
_og_	 1184221
m_	 1163411
sk	 1148369
j	 1146755
_de	 1137461
ve	 1111606
ed	 1105477
is	 1078380
tt	 1072479
d_	 1058434
•_	 1027357
√•_	 1027137
_v	 1024054
ri	 1020211
ra	 1019544
av	 998053
al	 985061
l_	 984493
_p	 964269
_k	 962551
nn	 959358
ll	 956495
_.	 928604
on	 919434
fo	 918561
om_	 899849
ns	 899814
_._	 886381
ter	 882313
at	 870642
so	 839038
for	 832488
rt	 830421
la	 827970
v_	 818694
-	 805835
ha	 797326
a_	 795136
te_	 791298
_,	 769169
_,_	 767254
_me	 766809
S	 761879
_av	 756209
ig	 749793
_fo	 739559
nt	 738893
_ti	 733386
ta	 719113
)	 708862
(	 708633
av_	 707173
_en	 705420
ste	 705001
_(	 698014
de_	 694235
_for	 693192
til	 685899
_av_	 683314
ne_	 680312
ik	 678706
_l	 662137
un	 661895
