_	 91284
a	 31677
e	 15713
i	 15616
o	 13209
l	 12748
a_	 11027
t	 9458
u	 8868
e_	 8555
n	 6931
_l	 6856
le	 6462
i_	 6193
m	 5960
s	 5422
_le	 5374
le_	 4923
g	 4761
o_	 4728
_le_	 4496
'	 4111
f	 3915
ga	 3519
ta	 3432
_o	 3365
ma	 3231
_t	 3176
_i	 3066
_a	 3026
_m	 3009
p	 2877
u_	 2846
ai	 2821
.	 2578
at	 2498
_o_	 2492
r	 2378
._	 2367
_f	 2358
la	 2342
al	 2297
,	 2254
_ma	 2232
,_	 2127
na	 1994
ga_	 1886
ag	 1875
ia	 1794
_i_	 1785
fa	 1709
_e	 1590
an	 1569
aga	 1565
to	 1557
_ta	 1544
au	 1541
on	 1520
na_	 1479
ua	 1477
tu	 1427
O	 1422
lo	 1398
_e_	 1395
_fa	 1377
v	 1372
ai_	 1367
in	 1353
a'	 1345
_s	 1344
ma_	 1339
si	 1321
ia_	 1283
O_	 1281
ata	 1220
'a	 1173
ea	 1127
_p	 1113
am	 1104
_ma_	 1094
h	 1090
_O	 1077
d	 1073
li	 1069
A	 1068
_'	 1032
it	 1014
se	 987
oa	 973
_O_	 971
'i	 965
_la	 958
c	 957
k	 956
S	 949
ua_	 918
te	 903
_S	 892
mo	 862
a'a	 856
_A	 839
va	 839
_g	 830
ni	 826
es	 813
ƒ	 811
el	 799
fo	 792
_n	 791
is	 773
ti	 771
_ga	 767
ta_	 760
as	 755
ol	 750
M	 728
_.	 721
sa	 719
b	 718
nu	 715
er	 710
_,	 706
I	 704
ot	 698
ea_	 692
T	 690
o'	 685
_._	 683
'o	 682
lu	 674
Å	 674
ig	 672
ata_	 667
_,_	 664
ne	 651
en	 650
_T	 638
ƒÅ	 636
(	 635
alo	 634
'i_	 629
)	 629
ou	 614
aga_	 607
a.	 606
_(	 606
-	 594
n_	 592
ala	 590
ei	 588
a,	 581
_ia	 581
se_	 577
il	 575
a._	 571
a,_	 570
_I	 567
tag	 565
_se	 562
_M	 562
fa'	 557
si_	 557
us	 553
taga	 550
ina	 548
_fo	 548
y	 547
'u	 543
_u	 539
pi	 537
fa'a	 536
me	 534
gat	 532
E	 531
_fa'	 530
ana	 529
_fa'a	 526
ul	 523
so	 521
po	 521
_a_	 518
tu_	 517
atu	 517
_ai	 516
mai	 511
_at	 510
au_	 508
pe	 505
gata	 503
'o_	 498
av	 497
um	 497
af	 495
_to	 494
of	 490
L	 489
P	 488
agat	 486
agata	 484
no	 482
ona	 482
mi	 481
lea	 479
_v	 478
fi	 475
_ia_	 470
og	 469
ina_	 468
W	 462
oa_	 458
F	 458
gata_	 457
mai_	 455
ele	 450
s_	 449
)_	 449
_tag	 444
_P	 444
lag	 440
_taga	 439
pu	 438
tagat	 436
isi	 433
_ai_	 433
_lea	 432
_se_	 430
_E	 427
ama	 424
re	 424
Ä	 423
w	 420
iga	 419
_L	 417
u'	 413
fai	 412
ona_	 412
t_	 411
_te	 409
_ga_	 409
ei_	 408
d_	 406
-_	 401
ou_	 399
ka	 396
et	 393
‚	 389
‚Ä	 389
Sa	 388
aa	 385
_mai	 385
ri	 379
io	 379
_Sa	 378
im	 377
or	 377
:	 374
tau	 374
_F	 373
_va	 369
fu	 366
N	 362
C	 362
;	 361
moa	 360
_mai_	 360
Ma	 360
ato	 359
_tu	 359
_mo	 358
tai	 356
ao	 356
i'	 352
gi	 352
ap	 347
o'i	 347
fo'	 344
_fo'	 344
U	 343
oga	 343
:_	 342
oto	 340
su	 340
ava	 338
iga_	 336
lo_	 336
ut	 336
un	 335
_fo'i	 335
fo'i	 335
_atu	 334
pa	 334
ni_	 329
ar	 329
mal	 328
st	 326
o'i_	 325
lat	 324
ana_	 322
th	 320
_on	 319
fo'i_	 316
_fai	 316
tal	 315
lea_	 313
nd	 313
nei	 312
tou	 308
tel	 305
he	 304
ali	 303
–	 303
_po	 302
_lea_	 302
i.	 302
_sa	 300
u'u	 297
alu	 297
ita	 296
i'i	 296
_N	 292
ta'	 291
ui	 290
la_	 290
amo	 290
ng	 289
ra	 284
mat	 283
up	 283
atu_	 282
_tau	 281
_pi	 281
i._	 280
asi	 280
iti	 279
'u_	 277
ale	 275
aia	 274
ton	 274
_au	 273
nei_	 273
tele	 272
om	 272
mi_	 271
_:	 270
_:_	 270
tou_	 270
imi	 268
_na	 267
ait	 265
R	 264
ola	 264
_W	 263
tua	 262
_ona	 262
mu	 262
aim	 262
eg	 261
sp	 261
ve	 261
nt	 261
_U	 260
atou	 260
_lo	 260
_ona_	 260
_-	 260
_pe	 260
ele_	 260
y_	 259
gan	 257
a'i	 256
_atu_	 256
lu_	 256
ae	 256
E_	 253
aimi	 252
ene	 251
olo	 250
ò	 250
nu_	 250
‚Äò	 249
Sam	 249
Äò	 249
_)	 249
_-_	 248
faa	 247
o'o	 247
≈	 247
'O	 246
Le	 246
imi_	 245
onu	 245
r_	 244
len	 243
_Ma	 243
_'o	 243
aimi_	 242
i,	 242
nu'	 242
_faa	 241
laga	 241
