_	 2208167
e	 557315
a	 545947
i	 415210
o	 363015
n	 313840
r	 266869
t	 264778
e_	 236297
l	 222076
a_	 215320
s	 206997
d	 186748
c	 154133
_d	 121055
p	 107858
o_	 107688
i_	 104538
u	 98534
m	 96072
de	 95063
l_	 92109
√	 87380
_de	 81002
_e	 78775
g	 77938
≈	 77613
_s	 73216
_c	 73105
Ç	 71045
≈Ç	 70346
,	 68308
,_	 67837
el	 66154
on	 64128
n_	 61803
v	 61379
_p	 60238
an	 58139
ar	 57805
.	 57631
_a	 57588
el_	 56396
nt	 56101
de_	 55872
te	 55170
in	 54731
._	 53471
en	 53261
co	 52992
_de_	 52106
ti	 51024
_i	 49806
ri	 49756
ra	 49029
_l	 48704
er	 47707
ta	 46534
f	 45576
x	 44832
st	 44732
or	 43318
h	 42632
to	 40856
re	 39125
_≈	 39055
si	 38136
io	 37852
al	 37052
†	 36962
√†	 36821
_el	 35942
la	 35564
_el_	 35203
_co	 34171
_≈Ç	 34091
'	 34019
b	 33993
ia	 33804
ca	 33335
at	 32978
na	 32848
se	 32736
≈Ça	 31791
Ça	 31791
es	 30628
†_	 30236
√†_	 30157
da	 28814
pa	 28770
_e_	 28087
≈Ça_	 27949
Ça_	 27949
it	 27688
_g	 27205
_t	 26823
ti_	 26306
me	 26268
r_	 26009
he	 25975
xe	 25850
tr	 25796
_m	 25738
la_	 25472
_x	 25215
ro	 25157
_n	 25076
ni	 25040
ch	 24989
_f	 24782
di	 24721
no	 23986
ne	 23923
te_	 23581
po	 23553
to_	 23357
_in	 23290
ma	 23159
on_	 22706
_la	 22623
ic	 22602
as	 22468
is	 22346
_≈Ça	 22053
nte	 21872
so	 21741
ent	 21650
_i_	 21643
_≈Ça_	 21398
he_	 21292
nd	 21103
ion	 21039
xe_	 21012
ol	 20951
_pa	 20775
_la_	 20563
le	 20486
_,	 20225
_,_	 20137
ve	 20012
_xe	 19461
do	 19153
rt	 18780
_v	 18736
om	 18735
che	 18540
_a_	 18496
_r	 18492
_.	 18476
par	 18466
)	 18258
(	 18240
_se	 18079
_(	 17942
_._	 17864
_xe_	 17752
et	 17512
pr	 17471
un	 17433
_o	 17113
ta_	 16998
Çe	 16991
≈Çe	 16991
t√	 16954
ar_	 16785
ga	 16673
S	 16305
_da	 16211
sa	 16116
li	 16073
ci	 15792
al_	 15734
na_	 15696
ra_	 15641
che_	 15635
se_	 15540
_par	 15520
_ch	 15285
con	 15129
in_	 15107
vi	 14914
z	 14892
E	 14818
da_	 14747
del	 14461
ie	 14358
_che	 14332
va	 14314
_st	 14197
_S	 14131
_del	 14129
t√†	 14055
C	 14021
os	 14018
sio	 13788
eg	 13616
mo	 13562
A	 13530
fi	 13491
M	 13404
nc	 13248
_E	 13242
_pr	 13197
_che_	 13058
nte_	 13035
pi	 13021
mi	 13016
ion_	 13007
sion	 12994
ant	 12991
≈Çe_	 12851
Çe_	 12851
ia_	 12835
I	 12806
-	 12659
pe	 12602
a≈	 12576
nti	 12469
am	 12442
ati	 12424
t√†_	 12393
®	 12378
_M	 12374
√®	 12324
ns	 12144
re_	 12085
_C	 12080
_ca	 12059
_di	 12002
del_	 11936
ca_	 11930
a≈Ç	 11875
_del_	 11849
_'	 11824
l'	 11740
_con	 11632
_al	 11630
sta	 11528
iv	 11404
im	 11397
_so	 11362
)_	 11162
ad	 11119
N	 11084
o≈	 11060
L	 11019
o≈Ç	 10993
le_	 10958
_in_	 10868
q	 10660
tu	 10647
P	 10591
_A	 10542
lt	 10480
_po	 10318
no_	 10315
qu	 10266
men	 10138
_te	 10119
ur	 10109
_u	 10108
©	 10104
√©	 10049
_L	 10022
era	 10017
so_	 9993
_b	 9850
est	 9777
_l'	 9767
lo	 9759
gh	 9724
op	 9710
sc	 9698
_ma	 9631
ov	 9576
_an	 9571
co_	 9429
ort	 9361
av	 9357
ga_	 9316
tra	 9310
com	 9276
bi	 9245
_I	 9216
_P	 9194
ne_	 9182
_da_	 9125
sion_	 9113
gi	 9061
Çi	 9048
≈Çi	 9048
_no	 9039
ist	 9022
a,	 9004
a,_	 8966
ua	 8935
su	 8925
_N	 8919
_se_	 8883
F	 8877
e≈	 8846
gr	 8824
asi	 8800
ment	 8782
gn	 8780
em	 8745
io_	 8670
anc	 8664
ni_	 8620
_ga	 8620
e≈Ç	 8609
ica	 8529
_le	 8517
_na	 8463
j	 8433
¨	 8432
ati_	 8387
√¨	 8381
ut	 8367
_F	 8360
do_	 8329
go	 8304
fa	 8303
par_	 8296
_com	 8249
El	 8171
ot	 8106
us	 8105
_El	 8057
R	 8002
tan	 7982
o,	 7959
vo	 7951
ori	 7951
k	 7949
o,_	 7920
_-	 7907
_par_	 7907
ita	 7886
El_	 7882
®_	 7855
ec	 7844
√®_	 7841
ce	 7811
_El_	 7801
ter	 7753
en_	 7703
:	 7702
ss	 7693
-_	 7681
fo	 7680
_un	 7670
og	 7661
nti_	 7606
e,	 7557
ag	 7553
ba	 7542
e,_	 7522
_ri	 7433
tor	 7422
_-_	 7416
ari	 7408
and	 7400
rs	 7399
il	 7378
eri	 7375
_q	 7358
ai	 7353
rti	 7323
B	 7287
ng	 7251
t_	 7240
ri_	 7225
r√	 7223
_su	 7211
ea	 7168
_R	 7148
str	 7130
'n	 7130
ma_	 7128
_qu	 7123
_≈Çe	 7106
ed	 7105
ue	 7065
sa_	 7046
:_	 7039
_'n	 7030
i,	 7004
ei	 6991
i,_	 6975
_al_	 6973
D	 6972
me_	 6964
ex	 6954
ente	 6942
G	 6910
ir	 6906
_re	 6886
ro_	 6874
oc	 6874
